#{"t_start": 1789115085.501633, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated,pickups_collected,shield_blocks,elites_killed
-15.44,294,0.410068,1,0,0,5,True,0,0,0
-13.03,253,0.502293,1,0,2,5,True,0,0,0
-13.1,360,0.63259,1,0,3,5,True,0,0,0
-12.91,341,0.757769,1,0,3,5,True,0,0,0
-14.94,244,0.847169,1,0,0,5,True,0,0,0
-13.82,132,0.895576,1,0,0,5,True,0,0,0
-14.23,173,0.957962,1,0,0,5,True,0,0,0
-12.69,319,1.524821,1,0,3,5,True,0,0,0
-9.49,399,1.686761,1,0,7,5,True,0,0,0
-13.72,122,1.727973,1,0,0,5,True,0,0,0
-14.06,256,1.813247,1,0,1,5,True,0,0,0
-13.91,141,1.861074,1,0,0,5,True,0,0,0
-15.13,263,1.949203,1,0,0,5,True,0,0,0
-13.68,118,1.988424,1,0,0,5,True,0,0,0
-13.96,146,2.038059,1,0,0,5,True,0,0,0
-13.98,148,2.093577,1,0,0,5,True,0,0,0
-13.28,278,2.195006,1,0,2,5,True,0,0,0
-8.65,415,2.777754,1,0,8,5,True,0,0,0
-15.32,282,2.879519,1,0,0,5,True,0,0,0
-13.76,326,3.00355,1,0,2,5,True,0,0,0
-13.8,130,3.049874,1,0,0,5,True,0,0,0
-9.14,364,3.183949,1,0,7,5,True,0,0,0
-13.55,205,3.26011,1,0,1,5,True,0,0,0
-7.59,209,3.336862,1,1,2,5,True,0,0,0
-14.02,452,3.944068,1,0,3,5,True,0,0,0
-15.11,261,4.039819,1,0,0,5,True,0,0,0
-14.0,250,4.131961,1,0,1,5,True,0,0,0
-11.81,331,4.256186,1,0,4,5,True,0,0,0
-9.01,451,4.424044,1,0,8,5,True,0,0,0
-13.07,257,4.519087,1,0,2,5,True,0,0,0
-14.99,349,5.097578,1,0,1,5,True,0,0,0
-8.79,629,5.332402,1,0,10,5,True,0,0,0
-8.11,561,5.54182,1,0,10,5,True,0,0,0
-11.19,669,5.799914,1,0,8,5,True,0,0,0
-14.75,325,6.346977,1,0,1,5,True,0,0,0
-9.48,498,6.535241,1,0,8,5,True,0,0,0
-11.81,231,6.618307,1,0,3,5,True,0,0,0
-13.74,424,6.777467,1,0,3,5,True,0,0,0
-12.49,499,6.962914,1,0,5,5,True,0,0,0
-12.18,268,7.50926,1,0,3,5,True,0,0,0
-14.44,394,7.660709,1,0,2,5,True,0,0,0
-8.35,185,7.729118,1,1,1,5,True,0,0,0
-6.36,786,8.039473,1,1,9,5,True,0,0,0
-15.48,698,8.739605,1,0,4,5,True,0,0,0
-12.3,580,8.953801,1,0,6,5,True,0,0,0
-10.79,529,9.162674,1,0,7,5,True,0,0,0
-11.12,362,9.307323,1,0,5,5,True,0,0,0
-4.13,563,9.970264,1,1,9,5,True,1,1,0
-10.65,515,10.167451,1,0,7,5,True,0,0,0
-6.11,861,10.486873,1,1,10,5,True,0,0,0
-8.81,731,11.197359,1,0,11,5,True,0,0,0
-0.2,870,11.536359,1,1,16,5,True,0,0,0
-8.01,351,11.671922,1,1,3,5,True,0,0,0
-0.92,1042,12.501269,1,1,17,5,True,0,0,0
0.66,784,12.799595,1,1,16,5,True,0,0,0
-8.81,731,13.078587,1,0,11,5,True,0,0,0
11.16,734,13.801412,2,2,11,5,True,1,1,0
