#{"t_start": 1789115085.5004659, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated,pickups_collected,shield_blocks,elites_killed
-12.25,275,0.404346,1,0,3,5,True,0,0,0
-13.72,222,0.485537,1,0,1,5,True,0,0,0
-14.12,262,0.581384,1,0,1,5,True,0,0,0
-14.42,292,0.686756,1,0,1,5,True,0,0,0
-13.95,145,0.740189,1,0,0,5,True,0,0,0
-11.54,404,0.887522,1,0,5,5,True,0,0,0
-15.03,253,0.978218,1,0,0,5,True,0,0,0
-14.31,181,1.044164,1,0,0,5,True,0,0,0
-13.29,179,1.562336,1,0,1,5,True,0,0,0
-11.83,133,1.611888,1,0,2,5,True,0,0,0
-14.15,165,1.686568,1,0,0,5,True,0,0,0
-13.62,212,1.75812,1,0,1,5,True,0,0,0
-14.14,164,1.812471,1,0,0,5,True,0,0,0
-10.21,371,1.937829,1,0,6,5,True,0,0,0
-13.18,368,2.063925,1,0,3,5,True,0,0,0
-15.07,257,2.159048,1,0,0,5,True,0,0,0
-14.29,279,2.691167,1,0,1,5,True,0,0,0
-13.72,222,2.772024,1,0,1,5,True,0,0,0
-12.75,225,2.854665,1,0,2,5,True,0,0,0
-12.93,143,2.905536,1,0,1,5,True,0,0,0
-13.23,273,3.009865,1,0,2,5,True,0,0,0
-7.57,207,3.085176,1,1,2,5,True,1,1,0
-13.14,164,3.146314,1,0,1,5,True,0,0,0
-11.45,295,3.255008,1,0,4,5,True,0,0,0
-13.52,202,3.329024,1,0,1,5,True,0,0,0
-13.28,378,3.908812,1,0,3,5,True,0,0,0
-12.03,253,4.001526,1,0,3,5,True,0,0,0
-13.09,159,4.060434,1,0,1,5,True,0,0,0
-9.57,607,4.28756,1,0,9,5,True,0,0,0
-12.12,262,4.383119,1,0,3,5,True,0,0,0
-13.93,443,4.54877,1,0,3,5,True,0,0,0
-10.78,328,5.11953,1,0,5,5,True,0,0,0
-11.62,512,5.311109,1,0,6,5,True,0,0,0
-12.26,376,5.451007,1,0,4,5,True,0,0,0
-14.56,306,5.565328,1,0,1,5,True,0,0,0
-10.72,322,5.682687,1,0,5,5,True,0,0,0
-11.76,526,6.314846,1,0,6,5,True,0,0,0
-12.75,625,6.55134,1,0,6,5,True,0,0,0
-5.4,490,6.731868,1,1,7,5,True,0,0,0
-6.22,772,7.02093,1,1,9,5,True,0,0,0
-9.72,522,7.66461,1,0,8,5,True,0,0,0
-9.88,438,7.82864,1,0,7,5,True,0,0,0
-12.87,437,8.00699,1,0,4,5,True,0,0,0
-13.33,183,8.077076,1,0,1,5,True,0,0,0
-12.8,430,8.225432,1,0,4,5,True,0,0,0
-10.46,696,8.932929,1,0,9,5,True,0,0,0
-13.24,774,9.240658,1,0,7,5,True,0,0,0
-8.13,263,9.343795,1,1,2,5,True,0,0,0
-9.24,274,9.449629,1,1,1,5,True,1,1,0
