#{"t_start": 1789115085.5023239, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated,pickups_collected,shield_blocks,elites_killed
8.45,805,44.240881,2,2,9,5,True,1,1,0
39.05,1545,45.303806,3,5,22,5,True,1,1,1
32.75,1575,46.41154,3,5,16,5,True,1,1,1
18.57,993,46.864178,2,2,21,5,True,1,1,0
37.5,1600,48.006958,3,5,21,5,True,2,2,1
20.75,1575,49.162101,2,2,29,5,True,0,0,0
18.53,797,49.497073,2,2,19,5,True,1,1,0
-0.97,747,50.320165,1,0,19,5,True,0,0,0
39.14,1636,51.528474,2,5,33,5,True,0,0,0
49.7,1380,52.067355,3,5,31,5,True,1,1,1
22.28,822,52.903215,2,4,13,5,True,2,2,1
11.59,791,53.236352,2,2,12,5,True,0,0,0
20.12,1038,54.121243,2,2,23,5,True,0,0,0
41.89,1861,54.89427,3,5,28,5,True,0,0,1
14.96,654,55.590488,2,2,14,5,True,0,0,0
43.42,1608,56.667516,3,5,27,5,True,0,0,1
16.74,876,57.029208,2,3,13,5,True,1,1,0
38.79,1071,57.883467,3,5,17,5,True,0,0,1
15.23,827,58.207049,2,2,16,5,True,1,1,0
15.36,714,58.504087,2,3,10,5,True,0,0,0
43.7,1780,59.631028,3,5,29,5,True,1,1,1
15.72,678,59.934448,2,3,10,5,True,0,0,0
10.76,774,60.723937,2,2,11,5,True,0,0,0
22.28,922,61.138264,2,3,19,5,True,0,0,0
47.9,1560,62.236191,3,5,31,5,True,1,1,1
45.46,1704,63.377313,3,5,30,5,True,1,1,1
12.26,724,63.655849,2,2,12,5,True,0,0,0
22.96,654,64.395312,2,3,17,5,True,0,0,0
27.06,844,64.74712,2,3,23,5,True,0,0,0
12.8,770,65.07736,2,2,13,5,True,1,1,0
9.5,500,65.733927,2,2,7,5,True,0,0,0
14.58,792,66.04777,2,2,15,5,True,0,0,0
50.63,1487,67.148448,3,5,33,5,True,0,0,1
20.87,963,67.569741,2,3,18,5,True,1,1,0
12.34,816,68.405408,2,2,13,5,True,1,1,0
47.24,1326,68.924883,3,5,28,5,True,1,1,1
27.49,1001,69.813471,2,4,20,5,True,2,2,0
12.94,456,69.990822,2,2,10,5,True,0,0,0
16.86,864,70.37103,2,3,13,5,True,1,1,0
28.15,1035,71.257055,2,4,21,5,True,0,0,0
13.85,865,71.628077,2,2,15,5,True,0,0,0
40.95,1455,72.688886,3,5,23,5,True,1,1,1
20.63,1187,73.613884,2,4,15,5,True,0,0,1
25.02,948,73.988119,2,2,27,5,True,0,0,0
16.97,653,74.273348,2,3,11,5,True,0,0,1
53.65,1885,75.494078,3,5,40,5,True,0,0,1
13.04,546,76.184782,2,2,11,5,True,0,0,0
18.66,884,76.531846,2,2,20,5,True,0,0,0
11.04,946,76.877032,2,2,13,5,True,0,0,0
25.4,1110,77.801426,2,3,24,5,True,1,1,0
54.77,1673,78.937858,3,5,39,5,True,1,1,1
20.57,1093,79.367884,2,3,19,5,True,0,0,0
24.66,784,80.104429,2,3,20,5,True,0,0,0
9.87,563,80.347173,2,2,8,5,True,0,0,0
53.82,1468,81.37937,3,5,36,5,True,0,0,1
11.16,434,81.568921,2,2,8,5,True,0,0,0
25.38,912,81.927995,2,2,27,5,True,0,0,0
49.4,1210,82.850806,3,5,29,5,True,1,1,1
51.88,1262,83.822378,3,5,32,5,True,1,1,1
31.26,1124,84.273654,2,3,30,5,True,0,0,1
19.81,769,85.021525,2,2,20,5,True,0,0,0
10.18,932,85.398694,2,2,12,5,True,0,0,0
72.11,1639,86.483767,3,5,56,5,True,0,0,1
21.68,882,86.853652,2,3,18,5,True,0,0,0
21.3,820,87.635145,2,2,22,5,True,0,0,1
