#{"t_start": 1788950771.120587, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-12.51,401,2.618355,1,0,4,5,True
-14.59,209,2.973951,1,0,0,5,True
-10.82,232,3.370505,1,0,4,5,True
-12.04,354,3.991284,1,0,4,5,True
-14.49,199,4.355014,1,0,0,5,True
-14.49,299,4.884228,1,0,1,5,True
-14.04,154,5.144465,1,0,0,5,True
-7.05,155,5.438315,1,1,2,5,True
-13.57,207,7.953884,1,0,1,5,True
-13.87,237,8.3634,1,0,1,5,True
-14.36,186,8.708434,1,0,0,5,True
-12.09,259,9.164272,1,0,3,5,True
-12.14,264,9.662732,1,0,3,5,True
-12.83,233,10.097904,1,0,2,5,True
-13.03,153,10.373843,1,0,1,5,True
-10.69,219,10.773767,1,0,4,5,True
-13.29,179,11.099331,1,0,1,5,True
-12.8,230,13.63215,1,0,2,5,True
-13.07,457,14.410715,1,0,4,5,True
-10.55,305,14.961491,1,0,5,5,True
-14.28,278,15.461324,1,0,1,5,True
-13.66,316,16.024087,1,0,2,5,True
-12.15,265,16.503931,1,0,3,5,True
-14.37,187,16.83888,1,0,0,5,True
-11.19,369,19.692587,1,0,5,5,True
-12.56,306,20.21911,1,0,3,5,True
-13.7,320,20.814595,1,0,2,5,True
-15.53,403,21.510048,1,0,1,5,True
-14.07,357,22.106035,1,0,2,5,True
-14.59,209,22.478673,1,0,0,5,True
-14.14,164,22.783051,1,0,0,5,True
-9.71,321,24.701878,1,0,6,5,True
-9.44,894,25.028543,1,1,7,5,True
-13.47,197,25.099122,1,0,1,5,True
-12.96,246,25.186427,1,0,2,5,True
-5.89,539,25.776774,1,1,7,5,True
-11.74,424,25.930291,1,0,5,5,True
-8.28,1078,26.318908,1,1,10,5,True
-11.79,429,26.477006,1,0,5,5,True
6.51,999,27.250686,2,2,9,5,True
5.6,990,27.611699,2,2,8,5,True
-11.63,513,28.21496,1,0,6,5,True
-10.3,380,28.35225,1,0,6,5,True
-10.21,371,28.484224,1,0,6,5,True
-13.45,495,28.662575,1,0,4,5,True
-8.3,480,29.24948,1,0,9,5,True
-13.01,551,29.437328,1,0,5,5,True
11.19,1031,29.824422,2,2,14,5,True
25.0,2000,31.045404,2,4,17,4,False
12.38,1512,32.052579,2,3,15,5,True
17.73,1377,33.002556,2,2,24,5,True
7.76,1074,33.431563,2,2,11,5,True
-13.03,153,33.4893,1,0,1,5,True
17.62,1488,34.473588,2,2,25,5,True
-5.47,497,34.672334,1,1,7,5,True
12.92,1158,35.560484,2,2,17,5,True
18.63,1787,36.646891,2,2,29,5,True
16.51,1099,37.083612,2,2,20,5,True
10.97,1453,38.095198,2,2,18,5,True
10.64,1086,38.489353,2,2,14,5,True
17.69,881,39.221585,2,3,14,5,True
8.52,998,39.601289,2,2,11,5,True
13.34,1016,40.416876,2,2,16,5,True
31.47,1903,41.619086,2,3,38,5,True
0.49,1101,42.071645,1,1,19,5,True
49.5,2000,43.340892,3,5,26,3,False
11.97,753,44.071425,2,2,12,5,True
6.86,864,44.38645,2,2,8,5,True
12.18,732,44.6807,2,2,12,5,True
11.91,1059,45.551885,2,2,15,5,True
16.25,925,45.905379,2,2,18,5,True
18.99,1051,46.751456,2,2,22,5,True
17.75,875,47.131837,2,3,14,5,True
4.17,733,47.821522,1,1,19,5,True
6.82,1668,48.879564,1,1,31,5,True
11.11,439,49.064827,2,2,8,5,True
17.14,1236,49.524663,2,2,22,5,True
