#{"t_start": 1788950771.11945, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-10.36,286,2.402504,1,1,0,5,True
-12.93,343,3.007047,1,0,3,5,True
-14.18,168,3.29004,1,0,0,5,True
-12.81,231,3.691213,1,0,2,5,True
-6.27,677,4.904362,1,1,8,5,True
-14.18,168,5.192774,1,0,0,5,True
-12.36,286,7.868347,1,0,3,5,True
-9.61,311,8.402586,1,1,1,5,True
-13.97,247,8.850619,1,0,1,5,True
-7.16,266,9.335913,1,1,3,5,True
-13.81,231,9.77481,1,0,1,5,True
-13.44,194,10.129482,1,0,1,5,True
-13.76,226,10.553642,1,0,1,5,True
-10.15,465,13.511554,1,0,7,5,True
-12.16,466,14.310702,1,0,5,5,True
-12.88,438,15.083493,1,0,4,5,True
-14.18,168,15.39108,1,0,0,5,True
-13.74,324,15.971325,1,0,2,5,True
-12.76,426,16.735373,1,0,4,5,True
-13.9,240,19.262222,1,0,1,5,True
-14.03,253,19.807267,1,0,1,5,True
-8.28,578,20.846438,1,0,10,5,True
-10.53,403,21.545595,1,0,6,5,True
-13.47,297,22.042544,1,0,2,5,True
-12.0,350,22.673156,1,0,4,5,True
-12.54,404,24.710583,1,0,4,5,True
-11.37,887,25.033928,1,0,10,5,True
-14.11,461,25.198407,1,0,3,5,True
-11.12,462,25.760834,1,0,6,5,True
12.04,746,26.027822,2,2,12,5,True
-12.84,434,26.181456,1,0,4,5,True
-8.82,632,26.417147,1,0,10,5,True
-8.9,540,27.017162,1,0,9,5,True
-4.48,598,27.242545,1,1,9,5,True
-6.87,737,27.509308,1,0,13,5,True
-12.15,265,27.607019,1,0,3,5,True
-12.75,1025,28.395028,1,0,10,5,True
-5.36,386,28.53258,1,1,6,5,True
-4.19,1969,29.641655,1,1,23,5,True
5.42,408,29.806936,2,2,2,5,True
9.06,1144,30.690541,2,2,13,5,True
16.95,855,31.027406,2,2,18,5,True
9.09,741,31.740844,2,2,9,5,True
14.43,1507,32.305905,2,2,22,5,True
9.61,889,33.083322,2,2,11,5,True
-7.97,747,33.38082,1,0,12,5,True
9.83,1267,34.278221,2,2,15,5,True
-3.89,1139,34.727874,1,1,15,5,True
12.55,895,35.515208,2,2,14,5,True
12.18,832,35.829129,2,2,13,5,True
-1.75,725,36.516427,1,1,13,5,True
-6.87,437,36.680863,1,0,10,5,True
12.62,1888,37.842927,2,2,24,5,True
9.52,1498,38.430048,2,2,17,5,True
10.41,1209,39.281716,2,2,15,5,True
8.6,1090,40.122038,2,2,12,5,True
9.24,1126,40.550517,2,2,13,5,True
22.86,1264,41.510445,2,2,28,5,True
-9.16,166,41.572621,1,1,0,5,True
14.49,1101,42.027496,2,2,18,5,True
14.94,956,42.856903,2,2,17,5,True
13.87,1263,43.387252,2,3,14,5,True
15.19,731,44.104731,2,2,15,5,True
-3.71,521,44.298165,1,0,14,5,True
12.82,868,44.630677,2,3,9,5,True
30.0,2000,45.867473,2,2,32,4,False
19.44,1006,46.685032,2,2,22,5,True
6.44,906,47.082572,2,2,8,5,True
12.69,581,47.717347,2,2,11,5,True
20.76,974,48.09945,2,3,18,5,True
17.81,1269,49.007857,2,2,23,5,True
