#{"t_start": 1788950771.1142771, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-13.25,175,2.222873,1,0,1,5,True
-15.56,306,2.769217,1,0,0,5,True
-10.96,246,3.176382,1,0,4,5,True
-13.92,242,3.599572,1,0,1,5,True
-10.07,357,4.236784,1,0,6,5,True
-12.0,350,4.859178,1,0,4,5,True
-13.95,245,5.290629,1,0,1,5,True
-12.88,338,8.044886,1,0,3,5,True
-13.46,296,8.563095,1,0,2,5,True
-9.17,267,9.043822,1,1,1,5,True
-12.62,312,9.628609,1,0,3,5,True
-12.1,260,10.112862,1,0,3,5,True
-14.18,268,10.606335,1,0,1,5,True
-8.88,138,10.849426,1,1,0,5,True
-12.64,214,11.233835,1,0,2,5,True
-7.04,454,14.147688,1,0,10,5,True
-9.47,497,15.024074,1,0,8,5,True
-11.67,317,15.597744,1,0,4,5,True
-12.6,210,15.971429,1,0,2,5,True
-8.05,555,16.970044,1,0,10,5,True
-9.48,398,19.865239,1,0,7,5,True
-14.43,193,20.19661,1,0,0,5,True
-14.69,319,20.794635,1,0,1,5,True
-13.8,230,21.180829,1,0,1,5,True
-12.7,220,21.572501,1,0,2,5,True
-13.3,180,21.874138,1,0,1,5,True
-3.65,515,22.78197,1,1,9,5,True
8.62,788,24.879385,2,2,9,5,True
-13.38,488,25.055628,1,0,4,5,True
-14.08,158,25.111779,1,0,0,5,True
-12.94,444,25.270059,1,0,4,5,True
-15.55,405,25.812788,1,0,1,5,True
-9.9,440,25.973952,1,0,7,5,True
-10.78,628,26.192717,1,0,8,5,True
-13.1,960,26.950164,1,1,4,5,True
-8.74,1124,27.365077,1,1,10,5,True
-13.5,500,27.548895,1,0,4,5,True
-13.11,261,27.6461,1,0,2,5,True
-14.66,516,28.252049,1,0,3,5,True
-1.5,1000,28.608872,1,1,16,5,True
-3.06,556,28.806262,1,1,10,5,True
4.65,985,29.564082,2,2,7,5,True
9.43,807,29.876699,2,2,10,5,True
8.51,1299,30.82132,1,1,29,5,True
12.58,892,31.171705,2,2,14,5,True
-12.2,670,31.853052,1,0,7,5,True
16.81,1169,32.29306,2,2,21,5,True
4.29,1621,33.359209,2,2,13,5,True
12.11,1039,34.173904,2,2,15,5,True
3.15,1035,34.576195,1,1,21,5,True
9.96,954,35.392512,2,2,12,5,True
13.9,960,35.760459,2,2,16,5,True
18.33,1117,36.589189,2,2,22,5,True
8.65,1085,37.020895,2,2,12,5,True
11.27,1223,37.919232,2,2,16,5,True
8.32,1318,38.429345,2,2,14,5,True
10.85,1265,39.301832,2,2,16,5,True
7.75,775,39.597826,2,2,8,5,True
23.23,1127,40.453614,2,2,27,5,True
-1.35,785,40.764488,1,1,14,5,True
9.77,1173,41.682846,2,2,14,5,True
12.91,1259,42.648273,2,2,18,5,True
18.32,1018,43.053777,2,2,21,5,True
17.48,902,43.440597,2,2,19,5,True
19.03,1347,44.37582,2,2,25,5,True
8.44,706,44.654499,2,2,8,5,True
11.11,1039,45.522221,2,2,14,5,True
-2.25,975,45.894769,1,1,15,5,True
16.75,1075,46.748174,2,2,20,5,True
16.72,1078,47.211735,2,2,20,5,True
21.01,1449,48.175937,2,3,23,5,True
16.08,1542,49.218105,2,2,24,5,True
7.08,742,49.474003,2,2,7,5,True
