#{"t_start": 1789147797.3913379, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-14.08,158,0.394145,1,0,0,5,True
-13.4,190,0.461589,1,0,1,5,True
-13.6,210,0.537759,1,0,1,5,True
-12.98,148,0.590298,1,0,1,5,True
-13.38,188,0.65851,1,0,1,5,True
-14.36,186,0.726339,1,0,0,5,True
-15.06,356,0.855609,1,0,1,5,True
-10.99,249,0.94156,1,0,4,5,True
-13.2,570,1.559503,1,0,5,5,True
-14.67,217,1.636566,1,0,0,5,True
-14.1,160,1.689638,1,0,0,5,True
-13.97,147,1.737825,1,0,0,5,True
-6.59,309,1.844636,1,1,4,5,True
-11.78,228,1.919655,1,0,3,5,True
-13.66,116,1.961018,1,0,0,5,True
-9.66,216,2.039477,1,1,0,5,True
-12.45,195,2.11131,1,0,2,5,True
-12.79,329,2.640461,1,0,3,5,True
-9.46,296,2.74807,1,0,6,5,True
-11.9,240,2.836547,1,0,3,5,True
-14.2,170,2.897344,1,0,0,5,True
-14.09,159,2.955499,1,0,0,5,True
-12.3,280,3.056718,1,0,3,5,True
-12.39,289,3.164136,1,0,3,5,True
-14.91,241,3.252206,1,0,0,5,True
-12.9,140,3.301133,1,0,1,5,True
-12.31,181,3.780282,1,0,2,5,True
-13.21,171,3.865215,1,0,1,5,True
-13.65,115,3.918506,1,0,0,5,True
-13.69,219,4.001949,1,0,1,5,True
-13.73,123,4.042159,1,0,0,5,True
-14.77,227,4.11807,1,0,0,5,True
-14.49,199,4.185019,1,0,0,5,True
12.55,595,4.392674,2,2,11,5,True
-13.02,152,4.447591,1,0,1,5,True
-10.87,337,4.99583,1,0,5,5,True
-12.34,284,5.092773,1,0,3,5,True
-13.76,226,5.173661,1,0,1,5,True
-14.24,174,5.236488,1,0,0,5,True
-14.05,155,5.293587,1,0,0,5,True
-6.26,1076,5.688301,1,0,17,5,True
-13.68,318,6.21621,1,0,2,5,True
-11.89,639,6.452476,1,0,7,5,True
-12.51,401,6.609255,1,0,4,5,True
-13.45,295,6.717577,1,0,2,5,True
-15.19,369,6.840249,1,0,1,5,True
23.78,1072,7.636553,2,2,27,5,True
-10.14,564,7.847905,1,0,8,5,True
-12.56,306,7.964227,1,0,3,5,True
