#{"t_start": 1788626609.94992, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-14.06,156,0.369223,1,0,0,5,True
-13.36,286,0.465006,1,0,2,5,True
-13.7,120,0.503671,1,0,0,5,True
-13.55,305,0.607498,1,0,2,5,True
-9.75,225,0.685725,1,1,0,5,True
-13.96,146,0.736921,1,0,0,5,True
-14.0,150,0.788548,1,0,0,5,True
-14.6,210,0.859363,1,0,0,5,True
-13.65,315,0.9837,1,0,2,5,True
-13.88,138,1.4435,1,0,0,5,True
-13.91,241,1.527657,1,0,1,5,True
-14.5,200,1.595604,1,0,0,5,True
-13.09,159,1.650708,1,0,1,5,True
-12.59,209,1.721037,1,0,2,5,True
-14.66,216,1.79721,1,0,0,5,True
-14.83,233,1.876076,1,0,0,5,True
-12.66,516,2.055188,1,0,5,5,True
-14.09,259,2.145769,1,0,1,5,True
-13.49,299,2.654812,1,0,2,5,True
-14.94,244,2.740926,1,0,0,5,True
-13.42,292,2.844477,1,0,2,5,True
-14.26,176,2.906103,1,0,0,5,True
-13.25,175,2.965431,1,0,1,5,True
-12.88,138,3.01392,1,0,1,5,True
-6.98,548,3.208974,1,0,11,5,True
-14.22,272,3.71268,1,0,1,5,True
-14.7,220,3.811192,1,0,0,5,True
-8.65,115,3.853519,1,1,0,5,True
-12.65,115,3.892664,1,0,1,5,True
-13.38,188,3.957184,1,0,1,5,True
-10.63,313,4.06492,1,0,5,5,True
-11.53,303,4.168483,1,0,4,5,True
-13.74,124,4.21348,1,0,0,5,True
-12.74,224,4.291949,1,0,2,5,True
-11.16,366,4.821772,1,0,5,5,True
-12.7,220,4.898548,1,0,2,5,True
-11.21,571,5.098701,1,0,7,5,True
-12.73,223,5.177711,1,0,2,5,True
-12.27,277,5.27617,1,0,3,5,True
-14.13,163,5.331839,1,0,0,5,True
-13.19,269,5.425808,1,0,2,5,True
-8.73,423,5.981352,1,0,8,5,True
-13.79,229,6.059208,1,0,1,5,True
-12.15,265,6.160281,1,0,3,5,True
-7.92,442,6.307822,1,0,9,5,True
-14.76,226,6.383287,1,0,0,5,True
-14.1,160,6.434133,1,0,0,5,True
-13.16,266,6.526025,1,0,2,5,True
-9.25,575,7.151555,1,0,9,5,True
-9.59,609,7.374604,1,0,9,5,True
-8.13,663,7.601127,1,0,11,5,True
-5.45,495,7.768742,1,1,7,5,True
