#{"t_start": 1788694035.930003, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-14.34,184,0.371143,1,0,0,5,True
-15.39,289,0.472426,1,0,0,5,True
-15.38,288,0.579437,1,0,0,5,True
-14.24,174,0.647024,1,0,0,5,True
-14.34,184,0.712319,1,0,0,5,True
-14.78,228,0.787889,1,0,0,5,True
-15.83,333,0.89634,1,0,0,5,True
-14.35,185,0.956773,1,0,0,5,True
-9.91,241,1.462191,1,1,0,5,True
-10.54,304,1.559345,1,1,0,5,True
-14.34,184,1.620089,1,0,0,5,True
-14.14,164,1.672042,1,0,0,5,True
-13.99,249,1.754941,1,0,1,5,True
-14.07,257,1.843422,1,0,1,5,True
-14.62,212,1.917094,1,0,0,5,True
-15.03,253,1.997725,1,0,0,5,True
-13.77,127,2.038992,1,0,0,5,True
-14.0,150,2.085313,1,0,0,5,True
-14.57,207,2.569014,1,0,0,5,True
-13.75,425,2.712276,1,0,3,5,True
-14.56,206,2.784281,1,0,0,5,True
-14.32,182,2.848858,1,0,0,5,True
-16.03,353,2.971703,1,0,0,5,True
-16.47,397,3.107615,1,0,0,5,True
-15.13,263,3.196898,1,0,0,5,True
7.61,589,3.842809,2,2,6,5,True
-14.51,201,3.908786,1,0,0,5,True
-14.25,275,4.004281,1,0,1,5,True
-14.52,202,4.074844,1,0,0,5,True
-16.95,445,4.234743,1,0,0,5,True
-14.05,155,4.291846,1,0,0,5,True
-15.45,395,4.841543,1,0,1,5,True
-14.32,182,4.904801,1,0,0,5,True
-15.83,333,5.022533,1,0,0,5,True
-14.36,186,5.088425,1,0,0,5,True
-15.33,283,5.184234,1,0,0,5,True
-10.85,535,5.374774,1,1,2,5,True
1.27,1123,6.179679,2,2,5,5,True
5.51,899,6.520811,2,3,2,5,True
-13.95,145,6.575006,1,0,0,5,True
8.3,620,7.223919,2,2,7,5,True
-14.73,1223,7.653556,1,0,10,5,True
-14.23,273,7.76038,1,0,1,5,True
-15.8,730,8.432414,1,0,4,5,True
-13.7,220,8.512076,1,0,1,5,True
-13.28,278,8.612907,1,0,2,5,True
-13.0,250,8.702992,1,0,2,5,True
4.03,1147,9.532106,2,2,8,5,True
-11.6,1510,10.091501,1,1,11,5,True
6.97,553,10.720559,2,2,5,5,True
-3.36,1386,11.261497,2,2,3,5,True
6.0,1150,12.119839,2,3,5,5,True
25.0,2000,13.339236,2,4,17,4,False
8.25,825,13.64067,2,2,9,5,True
30.5,2000,14.798282,3,5,7,3,False
7.56,694,15.47683,2,2,7,5,True
-5.39,489,15.665345,1,1,7,5,True
12.87,1163,16.075714,2,2,17,5,True
5.68,482,16.662373,2,2,3,5,True
4.63,887,17.001664,2,2,6,5,True
8.66,1084,17.819018,2,2,12,5,True
27.17,1833,18.968695,3,5,13,5,True
20.02,1048,19.388272,2,4,13,5,True
4.21,929,19.726559,2,2,6,5,True
-8.26,776,20.415422,1,1,7,5,True
2.35,915,20.783026,2,2,4,5,True
8.18,432,21.384256,2,2,5,5,True
37.5,2000,22.185454,3,6,8,1,False
4.3,620,22.876556,2,2,3,5,True
5.28,722,23.182404,2,2,5,5,True
14.61,589,23.404687,2,3,8,5,True
-10.79,429,24.013333,1,0,6,5,True
6.7,480,24.219088,2,2,4,5,True
8.7,1180,24.713188,2,2,13,5,True
-9.25,375,25.266401,1,1,2,5,True
12.0,2000,26.445301,2,4,4,4,False
11.74,976,26.809934,2,2,14,5,True
5.43,607,27.04095,2,2,4,5,True
6.07,643,27.694601,2,2,5,5,True
-7.34,184,27.760022,1,1,2,5,True
6.05,345,27.883301,2,2,2,5,True
12.1,740,28.148775,2,3,7,5,True
-8.29,479,28.733627,1,1,4,5,True
25.8,970,29.112746,2,4,18,5,True
7.69,581,29.3699,2,2,6,5,True
