#{"t_start": 1788694035.926655, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-15.21,271,0.404723,1,0,0,5,True
-14.22,172,0.464681,1,0,0,5,True
-11.38,488,0.648485,1,1,1,5,True
-15.21,271,0.74361,1,0,0,5,True
-14.52,202,0.809961,1,0,0,5,True
-14.21,171,0.865971,1,0,0,5,True
-15.38,288,0.959386,1,0,0,5,True
-14.86,236,1.46332,1,0,0,5,True
-14.98,248,1.542554,1,0,0,5,True
-14.35,185,1.603871,1,0,0,5,True
-14.53,203,1.667985,1,0,0,5,True
-10.97,347,1.783757,1,1,0,5,True
-10.56,306,1.890087,1,1,0,5,True
-16.47,497,2.051327,1,0,1,5,True
-17.7,520,2.636651,1,0,0,5,True
-9.86,436,2.786571,1,1,2,5,True
-15.7,320,2.901136,1,0,0,5,True
-14.97,247,2.985109,1,0,0,5,True
-15.44,294,3.088205,1,0,0,5,True
-15.77,327,3.196938,1,0,0,5,True
-16.43,393,3.769661,1,0,0,5,True
-14.46,196,3.842661,1,0,0,5,True
-14.63,213,3.912792,1,0,0,5,True
-15.6,310,4.020522,1,0,0,5,True
-10.4,290,4.121906,1,1,0,5,True
-13.89,139,4.171021,1,0,0,5,True
-15.36,286,4.276604,1,0,0,5,True
-15.84,334,4.394823,1,0,0,5,True
-13.91,441,4.959862,1,0,3,5,True
-16.29,379,5.094436,1,0,0,5,True
3.89,961,5.429982,2,2,6,5,True
-17.55,1205,6.270002,1,0,7,5,True
4.27,923,6.619642,2,2,6,5,True
-7.84,834,7.34108,1,0,13,5,True
-15.85,335,7.460538,1,0,0,5,True
-16.01,351,7.583577,1,0,0,5,True
-12.97,447,7.748637,1,0,4,5,True
-10.99,549,8.358041,1,1,2,5,True
-14.79,229,8.439748,1,0,0,5,True
-15.29,479,8.612898,1,0,2,5,True
-15.26,576,8.812623,1,0,3,5,True
-14.8,230,8.89203,1,0,0,5,True
13.0,2000,10.056409,2,4,5,4,False
-5.65,915,10.824688,1,1,11,5,True
4.89,861,11.167056,2,2,6,5,True
-12.79,329,11.285451,1,0,3,5,True
-11.01,351,11.838429,1,0,5,5,True
6.1,940,12.203623,2,2,8,5,True
3.81,769,12.526544,2,2,4,5,True
-15.28,378,13.098565,1,0,1,5,True
-12.71,421,13.25734,1,0,4,5,True
6.31,1219,13.703597,2,2,11,5,True
6.84,1066,14.509244,2,2,10,5,True
-6.19,869,14.838153,1,1,10,5,True
5.21,629,15.492798,2,2,4,5,True
-6.95,345,15.626845,1,1,4,5,True
2.77,973,15.965788,1,1,20,5,True
8.77,973,16.742571,2,2,11,5,True
-6.02,952,17.098887,1,1,11,5,True
3.73,877,17.839944,2,2,5,5,True
13.12,1338,18.373077,2,3,14,5,True
3.63,987,19.183565,2,2,6,5,True
7.88,362,19.329276,2,2,4,5,True
5.05,645,19.572578,2,2,4,5,True
19.0,2000,20.73607,2,4,10,2,False
16.5,2000,21.973157,2,4,8,3,False
-11.36,486,22.160132,1,0,6,5,True
6.62,688,22.879046,2,2,6,5,True
11.56,694,23.174045,2,2,11,5,True
4.4,710,23.444006,2,2,4,5,True
6.83,767,24.200531,2,2,7,5,True
10.31,419,24.380245,2,3,2,5,True
-5.46,596,24.626756,1,1,8,5,True
9.11,1039,25.454018,2,2,12,5,True
-4.41,491,25.651433,1,1,8,5,True
-14.44,194,25.720473,1,0,0,5,True
2.16,834,26.436126,2,2,3,5,True
-12.79,229,26.520623,1,0,2,5,True
-7.12,362,26.654078,1,1,4,5,True
24.39,1211,27.118479,3,5,4,5,True
5.01,649,27.766278,2,2,4,5,True
-11.43,393,27.906652,1,0,5,5,True
7.62,588,28.116488,2,2,6,5,True
8.65,1085,28.929884,2,3,7,5,True
7.17,533,29.146865,2,2,5,5,True
5.43,407,29.326763,2,2,2,5,True
9.98,452,29.519713,2,2,7,5,True
