#{"t_start": 1788694035.92703, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-14.18,168,0.368325,1,0,0,5,True
-14.81,331,0.485055,1,0,1,5,True
-15.18,268,0.584699,1,0,0,5,True
-14.13,163,0.647727,1,0,0,5,True
-9.58,308,0.75563,1,1,1,5,True
-14.24,174,0.812317,1,0,0,5,True
-13.97,147,0.860498,1,0,0,5,True
-15.18,268,0.947016,1,0,0,5,True
-14.65,215,1.018873,1,0,0,5,True
-14.22,172,1.499855,1,0,0,5,True
-16.6,410,1.632421,1,0,0,5,True
-14.14,164,1.684345,1,0,0,5,True
-14.68,218,1.757496,1,0,0,5,True
-14.44,194,1.824493,1,0,0,5,True
-15.86,336,1.94108,1,0,0,5,True
-14.12,162,1.990832,1,0,0,5,True
-13.79,129,2.032778,1,0,0,5,True
-16.86,436,2.588165,1,0,0,5,True
-14.4,190,2.65339,1,0,0,5,True
-15.42,492,2.823628,1,0,2,5,True
-14.84,234,2.907004,1,0,0,5,True
-16.08,458,3.065601,1,0,1,5,True
-16.15,365,3.187792,1,0,0,5,True
-16.76,526,3.810537,1,0,1,5,True
-14.69,219,3.885854,1,0,0,5,True
-14.64,214,3.959273,1,0,0,5,True
-16.82,432,4.108576,1,0,0,5,True
-13.7,220,4.185208,1,0,1,5,True
-16.62,412,4.338665,1,0,0,5,True
-15.25,275,4.844091,1,0,0,5,True
-14.97,647,5.072168,1,0,4,5,True
-16.01,651,5.303404,1,0,3,5,True
-11.01,851,6.012434,1,1,5,5,True
-14.97,247,6.099964,1,0,0,5,True
-17.35,785,6.388856,1,0,3,5,True
-13.74,224,6.472893,1,0,1,5,True
8.7,1080,7.290895,2,2,12,5,True
-11.63,1313,7.761548,1,1,9,5,True
-10.12,662,8.40917,1,0,9,5,True
-13.79,229,8.492249,1,0,1,5,True
7.6,690,8.738752,2,2,7,5,True
-8.84,1334,9.645017,1,0,17,5,True
-9.62,512,9.834699,1,1,3,5,True
9.51,1399,10.779498,2,4,6,5,True
7.76,774,11.083015,2,2,8,5,True
-5.4,390,11.233489,1,1,6,5,True
-10.53,803,11.955488,1,1,5,5,True
-14.47,597,12.187597,1,0,4,5,True
13.24,726,12.492296,2,3,8,5,True
-14.53,803,13.229666,1,0,6,5,True
-12.93,243,13.317593,1,0,2,5,True
-14.21,571,13.525938,1,0,4,5,True
5.07,743,13.806474,2,2,5,5,True
-11.65,315,14.332529,1,0,4,5,True
2.91,859,14.647716,2,2,4,5,True
11.85,1465,15.623519,2,3,14,5,True
11.2,730,15.87927,2,2,11,5,True
7.23,727,16.143472,2,2,7,5,True
-6.63,613,16.787391,1,1,7,5,True
21.67,1283,17.26592,2,4,17,5,True
2.19,931,18.040828,2,2,4,5,True
-11.63,513,18.2448,1,0,6,5,True
8.87,963,19.049507,2,2,11,5,True
14.91,859,19.391256,2,4,6,5,True
10.24,726,19.6571,2,2,10,5,True
8.21,529,20.252991,2,2,6,5,True
2.87,563,20.462256,2,2,1,5,True
5.05,845,20.805407,2,2,6,5,True
0.73,877,21.607634,2,2,2,5,True
11.44,706,21.876447,2,2,11,5,True
28.5,2000,23.128069,3,5,5,3,False
-10.72,422,23.279832,1,0,6,5,True
14.5,2000,24.550665,2,4,6,3,False
-11.24,274,24.660757,1,0,4,5,True
7.12,638,25.32222,2,2,6,5,True
10.28,622,25.581858,2,2,9,5,True
11.75,775,25.86732,2,2,12,5,True
4.87,463,26.445554,2,2,2,5,True
8.97,1253,26.92088,2,3,9,5,True
9.26,824,27.639362,2,3,5,5,True
11.96,754,27.911375,2,2,12,5,True
6.11,439,28.06695,2,2,3,5,True
-5.37,687,28.727639,1,1,9,5,True
