#{"t_start": 1788693850.272893, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-14.42,192,0.373611,1,0,0,5,True
-14.47,197,0.44195,1,0,0,5,True
-5.93,343,0.559494,1,1,5,5,True
-12.08,258,0.647495,1,0,3,5,True
-14.06,256,0.737193,1,0,1,5,True
-11.47,297,0.838485,1,0,4,5,True
-11.76,226,0.918287,1,0,3,5,True
-12.68,218,0.995112,1,0,2,5,True
-12.33,383,1.554561,1,0,4,5,True
-12.43,393,1.695623,1,0,4,5,True
-13.86,236,1.779138,1,0,1,5,True
-14.69,219,1.854391,1,0,0,5,True
-14.3,180,1.91698,1,0,0,5,True
-12.53,303,2.022159,1,0,3,5,True
-14.71,221,2.096019,1,0,0,5,True
-13.44,194,2.570333,1,0,1,5,True
-13.5,400,2.710882,1,0,3,5,True
-12.87,137,2.757898,1,0,1,5,True
-8.77,127,2.802195,1,1,0,5,True
-13.93,243,2.887311,1,0,1,5,True
-14.0,450,3.048404,1,0,3,5,True
-13.78,428,3.199183,1,0,3,5,True
-12.25,175,3.260027,1,0,2,5,True
-10.44,494,3.860398,1,0,7,5,True
-11.96,346,3.984768,1,0,4,5,True
-10.42,392,4.124357,1,0,6,5,True
-9.64,514,4.310484,1,0,8,5,True
-10.46,396,4.860438,1,0,6,5,True
-13.39,189,4.930111,1,0,1,5,True
-10.96,746,5.196118,1,0,9,5,True
-11.5,500,5.373825,1,0,6,5,True
-12.05,355,5.501687,1,0,4,5,True
-6.48,698,6.166942,1,0,13,5,True
-7.53,503,6.345103,1,0,10,5,True
-3.42,692,6.586247,1,1,11,5,True
-7.14,864,7.312152,1,1,9,5,True
-4.31,1381,7.819021,1,1,17,5,True
-3.72,1322,8.731924,1,1,17,5,True
-8.95,645,8.978975,1,0,10,5,True
-9.6,410,9.552569,1,0,7,5,True
-11.26,476,9.732015,1,0,6,5,True
5.54,1496,10.690317,2,2,13,5,True
10.76,874,11.020673,2,2,12,5,True
12.38,1012,11.401237,2,2,15,5,True
-9.79,729,12.084192,1,0,10,5,True
14.91,1559,13.037823,2,2,23,5,True
-14.62,312,13.166552,1,0,1,5,True
43.0,2000,14.392582,3,5,20,4,False
-5.3,780,14.693734,1,1,10,5,True
7.12,738,14.979355,2,2,7,5,True
-10.07,857,15.733641,1,0,11,5,True
2.15,1235,16.217606,1,1,22,5,True
13.72,978,16.988643,2,2,16,5,True
11.01,849,17.304147,2,2,12,5,True
21.14,1536,18.297638,2,2,29,5,True
12.52,1398,19.204579,2,2,19,5,True
-7.22,772,19.521811,1,0,13,5,True
2.7,980,20.304746,1,1,20,5,True
10.95,755,20.581097,2,2,11,5,True
22.2,1430,21.521377,2,2,29,5,True
10.5,900,21.884366,2,2,12,5,True
42.5,2000,23.067754,3,5,19,3,False
5.03,847,23.804161,1,1,21,5,True
9.82,868,24.161092,2,3,6,5,True
15.34,716,24.42054,2,3,10,5,True
21.63,1287,25.325507,2,3,22,5,True
12.49,1001,25.721358,2,2,15,5,True
16.48,1202,26.637213,2,2,21,5,True
19.84,1266,27.523253,2,2,25,5,True
23.64,986,27.91213,2,4,16,5,True
11.11,839,28.637867,2,2,12,5,True
