#{"t_start": 1789147746.886045, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-13.91,241,0.427462,1,0,1,5,True
-14.03,153,0.484485,1,0,0,5,True
-11.66,216,0.560462,1,0,3,5,True
-12.83,133,0.606533,1,0,1,5,True
-13.18,168,0.666786,1,0,1,5,True
-14.34,184,0.734402,1,0,0,5,True
-11.79,229,0.816639,1,0,3,5,True
-13.02,152,0.868998,1,0,1,5,True
-13.4,290,0.967048,1,0,2,5,True
-11.73,323,1.499635,1,0,4,5,True
-9.1,360,1.636259,1,0,7,5,True
-12.25,375,1.765213,1,0,4,5,True
-11.88,338,1.883868,1,0,4,5,True
-5.5,800,2.185969,1,1,10,5,True
-14.18,168,2.659948,1,0,0,5,True
-12.16,466,2.831702,1,0,5,5,True
-12.09,359,2.96155,1,0,4,5,True
-6.99,449,3.12702,1,0,10,5,True
-13.97,447,3.293619,1,0,3,5,True
-13.48,198,3.360509,1,0,1,5,True
-14.3,280,3.924593,1,0,1,5,True
-13.77,427,4.081042,1,0,3,5,True
-11.71,321,4.196319,1,0,4,5,True
-13.21,171,4.259245,1,0,1,5,True
-12.46,396,4.409084,1,0,4,5,True
-10.72,322,4.527894,1,0,5,5,True
-14.38,288,5.043977,1,0,1,5,True
12.39,1111,5.461553,2,2,16,5,True
-14.74,224,5.543929,1,0,0,5,True
-5.4,390,5.686087,1,1,6,5,True
-11.42,292,6.200373,1,0,4,5,True
-6.55,705,6.455888,1,0,13,5,True
-12.91,441,6.609077,1,0,4,5,True
2.95,755,6.88984,2,2,3,5,True
4.69,1281,7.777397,1,1,25,5,True
-14.91,441,7.946917,1,0,2,5,True
