#{"t_start": 1788693973.9079628, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-10.29,279,0.45306,1,1,0,5,True
-14.09,159,0.506671,1,0,0,5,True
-14.75,225,0.578515,1,0,0,5,True
-14.86,236,0.660843,1,0,0,5,True
-14.06,156,0.712494,1,0,0,5,True
-14.31,181,0.773453,1,0,0,5,True
-15.18,268,0.870992,1,0,0,5,True
-13.39,189,0.933111,1,0,1,5,True
-15.38,288,1.02798,1,0,0,5,True
-14.62,212,1.564046,1,0,0,5,True
-14.89,239,1.646177,1,0,0,5,True
-9.11,161,1.700897,1,1,0,5,True
-15.2,270,1.792935,1,0,0,5,True
-14.93,243,1.873011,1,0,0,5,True
-13.6,210,1.938793,1,0,1,5,True
-14.45,195,2.005606,1,0,0,5,True
-14.09,159,2.057666,1,0,0,5,True
-13.99,149,2.108405,1,0,0,5,True
-14.58,208,2.179431,1,0,0,5,True
-16.55,405,2.743846,1,0,0,5,True
-15.82,332,2.862052,1,0,0,5,True
-14.3,180,2.925147,1,0,0,5,True
-15.22,272,3.017493,1,0,0,5,True
-15.51,301,3.122745,1,0,0,5,True
-15.33,483,3.293503,1,0,2,5,True
-14.98,348,3.84968,1,0,1,5,True
-13.89,139,3.89733,1,0,0,5,True
-14.24,174,3.957773,1,0,0,5,True
-15.32,282,4.05671,1,0,0,5,True
-16.93,443,4.209521,1,0,0,5,True
-14.19,169,4.262882,1,0,0,5,True
-14.77,227,4.340356,1,0,0,5,True
-10.27,577,4.953022,1,1,3,5,True
-16.06,356,5.071461,1,0,0,5,True
-14.77,727,5.318033,1,1,0,5,True
-14.99,249,5.408359,1,0,0,5,True
-16.29,379,5.558616,1,0,0,5,True
-14.16,166,5.611977,1,0,0,5,True
-15.37,287,6.154721,1,0,0,5,True
-14.44,394,6.297947,1,0,2,5,True
-14.3,180,6.362416,1,0,0,5,True
-16.02,352,6.485605,1,0,0,5,True
-15.5,500,6.654307,1,0,2,5,True
-15.84,334,6.768424,1,0,0,5,True
-14.73,223,7.256136,1,0,0,5,True
-16.99,649,7.486149,1,0,2,5,True
-13.12,262,7.57743,1,0,2,5,True
-14.7,220,7.652764,1,0,0,5,True
-15.96,446,7.811375,1,0,1,5,True
-10.71,521,8.398889,1,1,2,5,True
-14.49,399,8.547175,1,0,2,5,True
-19.52,802,8.840644,1,0,1,5,True
-14.37,287,8.95184,1,0,1,5,True
-16.59,409,9.560498,1,0,0,5,True
-13.66,316,9.687634,1,0,2,5,True
-9.3,280,9.785187,1,1,1,5,True
-16.64,814,10.074012,1,0,4,5,True
-8.69,819,10.794801,1,1,7,5,True
-12.38,488,10.971518,1,0,5,5,True
-12.07,357,11.09572,1,0,4,5,True
-13.59,1209,11.965124,1,1,6,5,True
-14.5,300,12.074134,1,0,1,5,True
-13.55,305,12.18265,1,0,2,5,True
-20.18,1568,13.180408,1,1,3,5,True
-13.66,616,13.401284,1,0,5,5,True
9.25,825,13.691299,2,2,10,5,True
-11.44,894,14.426977,1,0,10,5,True
-7.42,492,14.613,1,1,5,5,True
-11.5,2000,15.780813,1,1,5,3,False
-11.52,602,16.022631,1,0,7,5,True
-10.66,916,16.789993,1,0,11,5,True
-2.48,1598,17.812951,2,2,6,5,True
4.16,834,18.135177,2,2,5,5,True
-12.78,928,18.479422,1,1,4,5,True
5.7,780,19.206663,2,2,6,5,True
-0.95,1345,19.699825,2,2,5,5,True
-12.7,520,20.303999,1,0,5,5,True
-14.18,468,20.501063,1,0,3,5,True
9.16,1034,20.929689,2,2,12,5,True
-12.66,816,21.669148,1,0,8,5,True
-15.59,509,21.855713,1,0,2,5,True
-15.39,589,22.069341,1,0,3,5,True
4.37,913,22.838623,2,2,6,5,True
7.46,804,23.145124,2,2,8,5,True
9.7,880,23.910695,2,2,11,5,True
3.17,1033,24.326317,2,2,6,5,True
-0.17,1167,25.161894,2,2,4,5,True
5.95,755,25.435561,2,2,6,5,True
4.48,802,26.147222,2,2,5,5,True
-15.9,740,26.429893,1,0,4,5,True
-11.6,910,26.763021,1,1,5,5,True
-12.24,274,26.873768,1,0,3,5,True
9.94,956,27.657906,2,2,12,5,True
19.24,826,27.957241,2,4,10,5,True
8.18,732,28.640459,2,2,8,5,True
-7.74,624,28.899599,1,0,11,5,True
-10.16,466,29.073164,1,0,7,5,True
