#{"t_start": 1789118899.883747, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-13.18,168,0.361766,1,0,1,5,True
-13.82,232,0.442434,1,0,1,5,True
-14.22,172,0.502462,1,0,0,5,True
-14.46,296,0.604464,1,0,1,5,True
-11.85,335,0.72234,1,0,4,5,True
-14.2,170,0.782065,1,0,0,5,True
-14.73,223,0.858089,1,0,0,5,True
-14.25,175,0.919172,1,0,0,5,True
-12.08,258,1.010724,1,0,3,5,True
-9.73,323,1.532893,1,0,6,5,True
-14.06,156,1.586604,1,0,0,5,True
-14.99,249,1.674025,1,0,0,5,True
-13.73,123,1.71654,1,0,0,5,True
-8.84,134,1.762694,1,1,0,5,True
-14.65,215,1.838219,1,0,0,5,True
-13.29,179,1.900805,1,0,1,5,True
-12.57,307,2.009226,1,0,3,5,True
-13.41,391,2.542885,1,0,3,5,True
-9.34,484,2.710261,1,0,8,5,True
-13.06,456,2.870664,1,0,4,5,True
-14.41,491,3.045454,1,0,3,5,True
-13.14,264,3.141407,1,0,2,5,True
-6.53,403,3.691609,1,1,5,5,True
-12.9,240,3.798436,1,0,2,5,True
-7.1,360,3.932074,1,1,4,5,True
-15.45,495,4.11126,1,0,2,5,True
-14.05,355,4.235271,1,0,2,5,True
-12.93,343,4.356363,1,0,3,5,True
-7.71,1021,5.122729,1,0,15,5,True
-4.62,1012,5.485235,1,0,18,5,True
13.43,907,6.219712,2,2,15,5,True
-14.56,906,6.545934,1,0,7,5,True
-15.4,490,7.132299,1,0,2,5,True
-10.13,863,7.472905,1,1,6,5,True
-9.74,624,7.701688,1,0,9,5,True
-14.9,340,7.824645,1,0,1,5,True
