#{"t_start": 1788949869.17694, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-14.29,179,0.373851,1,0,0,5,True
-14.42,192,0.439637,1,0,0,5,True
-10.1,360,1.012696,1,0,6,5,True
-14.04,254,1.470496,1,0,1,5,True
-13.7,120,1.684997,1,0,0,5,True
-5.88,538,2.608086,1,1,7,5,True
-13.64,314,3.153076,1,0,2,5,True
-10.39,389,5.940827,1,1,1,5,True
-13.27,277,6.430454,1,0,2,5,True
-13.64,114,6.640545,1,0,0,5,True
-7.93,443,7.433346,1,1,4,5,True
-11.12,362,8.0695,1,0,5,5,True
-13.58,208,8.44035,1,0,1,5,True
-11.89,339,9.052291,1,0,4,5,True
-12.26,276,11.605219,1,0,3,5,True
-10.1,260,12.055351,1,0,5,5,True
-12.91,141,12.311293,1,0,1,5,True
-9.97,247,12.751091,1,1,0,5,True
-11.29,579,13.796415,1,0,7,5,True
-11.68,618,16.989368,1,0,7,5,True
-13.88,238,17.479311,1,0,1,5,True
-10.54,304,18.017468,1,0,5,5,True
-10.99,449,18.839569,1,0,6,5,True
-10.11,561,19.807068,1,0,8,5,True
-11.15,565,22.88357,1,0,7,5,True
-14.5,500,23.817813,1,0,3,5,True
7.96,1154,25.96037,2,2,12,5,True
-11.81,231,26.416106,1,0,3,5,True
-10.98,648,29.776634,1,0,8,5,True
-15.52,502,30.698979,1,0,2,5,True
-13.35,485,31.620636,1,0,4,5,True
-9.48,498,34.628802,1,0,8,5,True
-14.03,753,36.081915,1,0,6,5,True
7.93,957,37.849968,2,2,10,5,True
-10.34,484,40.825674,1,1,2,5,True
-14.09,259,41.273233,1,0,1,5,True
-7.57,207,41.681958,1,1,2,5,True
-1.3,1280,44.247547,1,0,24,5,True
-4.49,799,47.779565,1,1,11,5,True
-4.74,1024,49.771756,1,1,13,5,True
-6.77,627,53.008348,1,1,7,5,True
-7.13,563,54.010894,1,0,11,5,True
8.72,1078,55.987484,2,2,12,5,True
12.46,1504,60.996278,2,2,20,5,True
14.43,1107,65.253447,2,2,18,5,True
13.83,867,67.143103,2,2,15,5,True
7.7,580,68.462027,2,2,6,5,True
14.43,1507,73.357782,2,2,22,5,True
-7.97,247,73.821102,1,1,2,5,True
6.65,685,77.182636,2,2,6,5,True
13.82,868,78.832563,2,2,15,5,True
-6.52,302,79.402656,1,1,4,5,True
51.0,2000,85.759765,3,6,23,4,False
42.0,2000,92.128754,2,4,33,2,False
34.59,1191,96.884113,3,5,14,5,True
-8.38,488,97.778171,1,0,9,5,True
7.04,1646,103.152997,1,1,31,5,True
12.38,1012,105.320967,2,2,15,5,True
14.38,1112,109.703195,2,2,18,5,True
-5.23,673,110.963632,1,1,9,5,True
20.35,1215,115.479609,2,4,15,5,True
31.08,1942,121.31621,2,2,43,5,True
15.58,1092,121.856302,2,2,19,5,True
15.02,748,122.563904,2,2,15,5,True
13.93,957,122.975036,2,2,16,5,True
50.0,2000,124.199655,3,5,27,4,False
16.9,860,124.567066,2,2,18,5,True
40.28,1422,125.505435,3,5,22,5,True
40.24,1326,126.459383,3,5,21,5,True
