#{"t_start": 1788626590.577207, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-14.1,160,0.390752,1,0,0,5,True
-9.17,367,0.511331,1,1,2,5,True
-13.6,310,0.612431,1,0,2,5,True
-12.22,372,0.733582,1,0,4,5,True
-12.62,212,0.802469,1,0,2,5,True
-11.69,219,0.871438,1,0,3,5,True
-13.78,328,0.976252,1,0,2,5,True
-14.91,341,1.520177,1,0,1,5,True
-12.52,202,1.589894,1,0,2,5,True
-14.59,309,1.697974,1,0,1,5,True
-14.15,165,1.756004,1,0,0,5,True
-6.1,460,1.917725,1,0,11,5,True
-13.48,198,1.986861,1,0,1,5,True
-14.0,150,2.038905,1,0,0,5,True
-13.02,352,2.579485,1,0,3,5,True
-13.22,172,2.63552,1,0,1,5,True
-13.59,209,2.706585,1,0,1,5,True
-11.2,370,2.836165,1,0,5,5,True
-12.93,143,2.88859,1,0,1,5,True
-14.01,251,2.976006,1,0,1,5,True
-13.85,135,3.023201,1,0,0,5,True
-13.59,409,3.169332,1,0,3,5,True
-12.81,231,3.249469,1,0,2,5,True
-12.47,397,3.815725,1,0,4,5,True
-11.69,219,3.891928,1,0,3,5,True
-13.55,205,3.963033,1,0,1,5,True
-14.41,191,4.029839,1,0,0,5,True
-10.21,371,4.157987,1,0,6,5,True
-13.24,274,4.25097,1,0,2,5,True
-13.71,121,4.292375,1,0,0,5,True
-14.07,257,4.38105,1,0,1,5,True
-13.99,249,4.876816,1,0,1,5,True
-13.63,413,5.021456,1,0,3,5,True
-14.7,220,5.098104,1,0,0,5,True
-13.29,279,5.195711,1,0,2,5,True
-13.83,233,5.276408,1,0,1,5,True
-14.28,278,5.371287,1,0,1,5,True
-14.41,191,5.436674,1,0,0,5,True
-8.16,366,5.965664,1,0,8,5,True
-12.06,256,6.054944,1,0,3,5,True
-15.24,374,6.185118,1,0,1,5,True
-9.3,380,6.318435,1,0,7,5,True
-13.87,237,6.40026,1,0,1,5,True
-12.87,437,6.556978,1,0,4,5,True
-14.78,228,6.639823,1,0,0,5,True
-9.26,576,7.25498,1,1,4,5,True
-9.65,615,7.462451,1,0,9,5,True
-9.01,251,7.554487,1,1,1,5,True
-13.93,243,7.640108,1,0,1,5,True
-14.3,280,7.73953,1,0,1,5,True
