#{"t_start": 1788626590.5775108, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-14.19,369,0.456568,1,0,2,5,True
-7.8,430,0.599256,1,0,9,5,True
-14.23,273,0.688542,1,0,1,5,True
-13.99,149,0.737243,1,0,0,5,True
-14.03,153,0.786751,1,0,0,5,True
-11.97,347,0.896296,1,0,4,5,True
-13.32,182,0.954474,1,0,1,5,True
-13.2,170,1.437149,1,0,1,5,True
-14.38,288,1.537782,1,0,1,5,True
-13.7,220,1.614437,1,0,1,5,True
-11.49,199,1.683605,1,0,3,5,True
-13.03,153,1.737583,1,0,1,5,True
-15.8,330,1.853674,1,0,0,5,True
-10.93,243,1.938884,1,0,4,5,True
-14.47,297,2.042176,1,0,1,5,True
-9.55,205,2.112776,1,1,0,5,True
-14.05,255,2.617854,1,0,1,5,True
-14.83,333,2.73022,1,0,1,5,True
-14.38,188,2.796989,1,0,0,5,True
-13.56,306,2.906705,1,0,2,5,True
-11.6,410,3.049462,1,0,5,5,True
-11.79,229,3.131095,1,0,3,5,True
-13.86,136,3.179751,1,0,0,5,True
-9.22,172,3.239135,1,1,0,5,True
-11.03,453,3.82466,1,0,6,5,True
-15.24,274,3.920175,1,0,0,5,True
-12.01,451,4.077087,1,0,5,5,True
-13.86,236,4.158623,1,0,1,5,True
-13.38,188,4.222192,1,0,1,5,True
-14.38,188,4.286406,1,0,0,5,True
-14.29,179,4.348612,1,0,0,5,True
-13.93,143,4.398099,1,0,0,5,True
-13.63,313,4.915927,1,0,2,5,True
-14.8,230,4.996479,1,0,0,5,True
-11.16,366,5.124085,1,0,5,5,True
-14.24,174,5.185251,1,0,0,5,True
-15.14,364,5.311131,1,0,1,5,True
-10.14,464,5.468973,1,0,7,5,True
-12.99,349,5.993676,1,0,3,5,True
-10.46,396,6.131303,1,0,6,5,True
-12.51,401,6.270344,1,0,4,5,True
-13.71,421,6.418585,1,0,3,5,True
-12.44,294,6.523205,1,0,3,5,True
-11.24,274,6.622552,1,0,4,5,True
-11.53,403,7.179637,1,0,5,5,True
-12.3,380,7.306863,1,0,4,5,True
-6.05,355,7.425936,1,1,5,5,True
-10.59,309,7.539304,1,0,5,5,True
-12.84,234,7.622012,1,0,2,5,True
-14.13,163,7.679755,1,0,0,5,True
-14.44,194,7.748557,1,0,0,5,True
