#{"t_start": 1788626630.689878, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-13.74,224,0.400717,1,0,1,5,True
-13.36,186,0.456974,1,0,1,5,True
-12.81,331,0.693212,1,0,3,5,True
-11.27,377,0.919462,1,0,5,5,True
-14.6,210,0.98841,1,0,0,5,True
-13.02,252,1.170421,1,0,2,5,True
-13.03,153,1.221781,1,0,1,5,True
-13.62,212,1.288568,1,0,1,5,True
-12.69,219,1.464291,1,0,2,5,True
-12.03,353,1.57728,1,0,4,5,True
-13.85,235,1.760966,1,0,1,5,True
-14.31,181,1.818949,1,0,0,5,True
-14.15,165,1.972767,1,0,0,5,True
-14.92,242,2.049482,1,0,0,5,True
-14.42,292,2.243932,1,0,1,5,True
-7.21,171,2.300669,1,1,2,5,True
-12.84,234,2.37402,1,0,2,5,True
-14.75,325,2.578808,1,0,1,5,True
-13.74,224,2.64887,1,0,1,5,True
-12.79,229,2.829981,1,0,2,5,True
-9.61,411,3.073904,1,0,7,5,True
-14.55,305,3.180954,1,0,1,5,True
-13.28,178,3.342864,1,0,1,5,True
-11.54,404,3.472394,1,0,5,5,True
-13.75,125,3.614714,1,0,0,5,True
-14.91,241,3.714023,1,0,0,5,True
-10.37,287,3.921006,1,0,5,5,True
-11.91,241,4.005432,1,0,3,5,True
-8.64,314,4.219386,1,1,2,5,True
-12.38,188,4.278833,1,0,2,5,True
-4.79,629,4.587789,1,1,9,5,True
-8.19,169,4.746269,1,1,1,5,True
-13.42,292,4.839202,1,0,2,5,True
-12.97,247,5.02934,1,0,2,5,True
-8.24,274,5.124699,1,1,2,5,True
-14.18,268,5.319718,1,0,1,5,True
-14.03,153,5.367692,1,0,0,5,True
-12.37,287,5.564897,1,0,3,5,True
-11.71,421,5.801074,1,0,5,5,True
-8.75,225,5.881923,1,1,1,5,True
-14.06,156,5.936715,1,0,0,5,True
-14.21,171,6.101889,1,0,0,5,True
-13.29,279,6.199781,1,0,2,5,True
-14.0,250,6.385383,1,0,1,5,True
-12.16,166,6.439092,1,0,2,5,True
-15.0,250,6.52093,1,0,0,5,True
-14.87,237,6.708009,1,0,0,5,True
-10.79,329,6.92447,1,0,5,5,True
-11.12,362,7.048211,1,0,5,5,True
