#{"t_start": 1788950638.175204, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-11.65,215,0.462932,1,0,3,5,True
-13.67,317,0.582193,1,0,2,5,True
-11.7,320,0.701945,1,0,4,5,True
-11.81,431,0.863217,1,0,5,5,True
-12.25,275,0.96614,1,0,3,5,True
-14.04,254,1.054627,1,0,1,5,True
-13.41,191,1.120145,1,0,1,5,True
-13.77,227,1.633654,1,0,1,5,True
-11.67,217,1.707261,1,0,3,5,True
-12.61,411,1.844436,1,0,4,5,True
-10.31,281,1.941279,1,0,5,5,True
-14.18,368,2.066151,1,0,2,5,True
-11.47,297,2.167816,1,0,4,5,True
-12.02,452,2.72323,1,0,5,5,True
-13.75,125,2.766472,1,0,0,5,True
-15.72,522,2.945551,1,0,2,5,True
-11.29,279,3.043031,1,0,4,5,True
-14.75,225,3.119334,1,0,0,5,True
-9.94,244,3.199206,1,0,5,5,True
-12.44,194,3.265365,1,0,2,5,True
-10.58,308,3.775309,1,0,5,5,True
-12.81,231,3.878079,1,0,2,5,True
-8.02,452,4.030042,1,1,4,5,True
-12.96,146,4.081858,1,0,1,5,True
-13.93,243,4.166731,1,0,1,5,True
-12.36,186,4.232521,1,0,2,5,True
-12.19,269,4.325247,1,0,3,5,True
-3.69,1119,5.11112,1,0,20,5,True
-15.03,253,5.198792,1,0,0,5,True
-14.01,151,5.251072,1,0,0,5,True
-11.78,628,5.468192,1,0,7,5,True
-12.6,310,5.578446,1,0,3,5,True
-6.97,347,6.105878,1,1,4,5,True
-12.57,407,6.251889,1,0,4,5,True
-2.56,1106,6.653881,1,1,16,5,True
-11.3,580,7.28348,1,0,7,5,True
-5.98,448,7.443254,1,1,6,5,True
-11.99,349,7.570311,1,0,4,5,True
-5.82,732,7.844239,1,1,9,5,True
-8.76,826,8.542053,1,0,12,5,True
-11.5,300,8.652122,1,0,4,5,True
-11.2,370,8.796637,1,0,5,5,True
-9.97,747,9.093886,1,0,10,5,True
-5.1,1160,9.930063,1,1,14,5,True
-11.26,476,10.105389,1,0,6,5,True
-3.01,751,10.778009,1,0,17,5,True
-8.2,570,11.001955,1,0,10,5,True
8.57,893,11.33674,2,2,10,5,True
15.99,951,15.010481,2,2,18,5,True
44.0,2000,21.802278,3,5,20,2,False
18.0,2000,27.936838,2,2,20,4,False
-11.88,538,29.024329,1,0,6,5,True
9.01,849,31.156557,2,2,10,5,True
-0.01,1151,35.90256,1,0,24,5,True
-1.5,1200,40.769399,1,0,23,5,True
-0.37,787,42.340081,1,1,15,5,True
7.36,814,44.134629,2,2,8,5,True
25.05,1345,49.278549,2,3,26,5,True
28.14,1936,55.766944,3,5,15,5,True
10.53,1397,60.794109,2,2,17,5,True
16.32,1018,62.961631,2,2,19,5,True
13.07,1443,68.072426,2,2,20,5,True
38.0,2000,74.354931,3,6,10,4,False
14.26,724,75.914251,2,2,14,5,True
20.64,1186,80.423574,2,2,25,5,True
47.5,2000,86.71078,3,7,14,3,False
-7.94,544,87.95457,1,1,5,5,True
8.16,734,89.637814,2,2,8,5,True
23.47,1203,94.2037,2,3,23,5,True
16.51,1199,98.891387,2,2,21,5,True
18.64,1086,101.361124,2,4,12,5,True
1.66,984,105.712712,1,0,24,5,True
11.99,1251,108.140382,2,2,17,5,True
