#{"t_start": 1789124141.240603, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-13.89,139,0.518222,1,0,0,5,True
-12.59,209,0.587727,1,0,2,5,True
-14.19,169,0.644381,1,0,0,5,True
-15.11,261,0.73158,1,0,0,5,True
-13.01,251,0.815872,1,0,2,5,True
-10.5,400,0.962196,1,1,1,5,True
-13.24,174,1.026277,1,0,1,5,True
-14.85,235,1.112685,1,0,0,5,True
-13.5,400,1.711391,1,0,3,5,True
-11.05,255,1.806876,1,0,4,5,True
-14.14,164,1.866503,1,0,0,5,True
-13.23,173,1.930656,1,0,1,5,True
-14.72,322,2.050449,1,0,1,5,True
-14.27,277,2.155183,1,0,1,5,True
-13.56,306,2.269322,1,0,2,5,True
-12.13,263,2.360732,1,0,3,5,True
-13.61,111,2.834038,1,0,0,5,True
-14.44,194,2.907029,1,0,0,5,True
-10.37,287,3.018059,1,0,5,5,True
-12.48,198,3.09478,1,0,2,5,True
-13.85,135,3.146007,1,0,0,5,True
-14.01,151,3.205255,1,0,0,5,True
-14.01,151,3.262266,1,0,0,5,True
-13.77,227,3.346808,1,0,1,5,True
-13.12,162,3.403842,1,0,1,5,True
-11.3,480,3.582937,1,0,6,5,True
-10.5,600,4.246496,1,0,8,5,True
-7.88,438,4.407299,1,0,9,5,True
-14.26,276,4.510314,1,0,1,5,True
-14.67,317,4.628569,1,0,1,5,True
-14.32,282,4.73498,1,0,1,5,True
-13.86,136,4.786259,1,0,0,5,True
-13.16,266,5.29019,1,0,2,5,True
-8.71,521,5.485865,1,0,9,5,True
-10.04,654,5.724661,1,0,9,5,True
-14.37,187,5.795172,1,0,0,5,True
-13.17,367,5.933841,1,0,3,5,True
-12.45,195,6.415261,1,0,2,5,True
0.64,1086,6.815078,1,1,19,5,True
-13.39,289,6.913003,1,0,2,5,True
-8.54,704,7.570723,1,0,11,5,True
-7.98,548,7.781151,1,0,10,5,True
16.04,1246,8.231849,2,2,21,5,True
-2.24,1374,9.13012,1,1,19,5,True
14.23,1227,10.027811,2,2,19,5,True
-8.64,614,10.254751,1,0,10,5,True
4.42,1208,11.138217,1,1,24,5,True
11.98,952,11.509222,2,2,14,5,True
18.5,2000,12.704253,2,2,20,3,False
31.0,2000,13.941165,2,4,23,4,False
-2.28,678,14.200275,1,1,12,5,True
-8.3,480,14.792812,1,0,9,5,True
19.87,963,15.162856,2,2,22,5,True
11.04,846,15.473093,2,2,12,5,True
16.73,877,16.218548,2,2,18,5,True
9.08,1442,17.178584,1,1,31,5,True
17.05,1245,17.647427,2,2,22,5,True
9.62,888,18.401616,2,2,11,5,True
7.8,770,18.711637,2,2,8,5,True
36.18,1232,19.649555,3,5,16,5,True
13.4,910,19.994092,2,2,15,5,True
6.86,864,20.332753,2,2,8,5,True
37.32,1218,21.23594,3,5,17,5,True
29.43,907,22.007766,3,5,6,5,True
19.79,1371,22.604577,2,2,26,5,True
14.15,1035,23.425003,2,2,17,5,True
1.09,641,23.681607,1,1,15,5,True
3.01,849,24.027069,1,1,19,5,True
21.1,1640,25.08698,2,2,30,5,True
46.0,2000,26.284937,2,4,38,4,False
13.24,626,26.946735,2,2,12,5,True
44.5,2000,27.698068,2,4,36,3,False
21.19,1031,28.496223,2,3,19,5,True
3.89,961,28.864868,1,1,21,5,True
14.2,1230,29.763018,2,2,19,5,True
