episode,return,steps,died,collected,epsilon
186,0.0,11,1,0,0.98233
187,0.0,10,1,0,0.982235
188,0.0,17,1,0,0.98214
189,0.0,47,1,0,0.9820450000000001
190,0.0,30,1,0,0.98195
191,0.0,28,1,0,0.981855
192,0.0,24,1,0,0.98176
193,0.0,9,1,0,0.981665
194,0.0,13,1,0,0.98157
195,0.0,8,1,0,0.981475
196,0.0,4,1,0,0.98138
197,0.0,8,1,0,0.981285
198,1.0,145,1,2,0.98119
199,0.0,5,1,0,0.981095
200,0.0,4,1,0,0.981
201,0.0,115,1,1,0.980905
202,0.0,67,1,1,0.98081
203,0.0,27,1,0,0.980715
204,0.0,57,1,0,0.98062
205,0.0,14,1,0,0.980525
206,0.0,14,1,0,0.98043
207,0.0,3,1,0,0.980335
208,0.0,9,1,0,0.98024
209,0.0,67,1,1,0.980145
210,0.0,11,1,0,0.98005
211,0.0,55,1,0,0.979955
212,1.0,267,1,2,0.97986
213,4.0,301,0,4,0.979765
214,0.0,5,1,0,0.97967
215,0.0,32,1,0,0.979575
216,0.0,14,1,0,0.97948
217,1.0,296,1,2,0.979385
218,0.0,6,1,0,0.97929
219,0.0,27,1,0,0.979195
220,0.0,6,1,0,0.9791
221,0.0,35,1,0,0.979005
222,0.0,7,1,0,0.97891
223,0.0,22,1,0,0.978815
224,0.0,10,1,0,0.97872
225,0.0,17,1,0,0.978625
226,0.0,45,1,0,0.97853
227,0.0,17,1,0,0.9784349999999999
228,0.0,11,1,0,0.97834
229,0.0,49,1,0,0.978245
230,0.0,6,1,0,0.97815
231,0.0,46,1,0,0.978055
232,0.0,35,1,0,0.97796
233,0.0,30,1,0,0.977865
234,0.0,3,1,0,0.97777
235,0.0,4,1,0,0.977675
236,0.0,13,1,0,0.97758
237,0.0,41,1,0,0.977485
238,0.0,14,1,0,0.97739
239,0.0,45,1,0,0.977295
240,0.0,7,1,0,0.9772
241,1.0,224,1,2,0.977105
242,0.0,38,1,0,0.97701
243,0.0,28,1,0,0.976915
244,0.0,22,1,0,0.97682
245,0.0,18,1,0,0.976725
246,0.0,27,1,0,0.97663
247,0.0,9,1,0,0.976535
248,0.0,33,1,0,0.97644
249,0.0,22,1,0,0.976345
250,0.0,25,1,0,0.97625
251,0.0,16,1,0,0.976155
252,0.0,7,1,0,0.97606
253,0.0,52,1,1,0.975965
254,0.0,5,1,0,0.97587
255,0.0,25,1,0,0.9757750000000001
256,0.0,23,1,0,0.97568
257,0.0,42,1,0,0.975585
258,0.0,53,1,0,0.97549
259,0.0,132,1,0,0.975395
260,0.0,3,1,0,0.9753000000000001
261,0.0,15,1,0,0.975205
262,0.0,31,1,0,0.97511
263,0.0,13,1,0,0.975015
264,1.0,146,1,1,0.97492
265,0.0,22,1,0,0.974825
266,0.0,10,1,0,0.97473
267,0.0,23,1,0,0.974635
268,0.0,15,1,0,0.97454
269,0.0,46,1,1,0.974445
270,0.0,4,1,0,0.97435
271,0.0,65,1,0,0.974255
272,1.0,84,1,2,0.97416
273,1.0,400,0,2,0.974065
274,0.0,20,1,0,0.97397
275,1.0,222,1,2,0.973875
276,0.0,2,1,0,0.97378
277,0.0,80,1,0,0.973685
278,0.0,9,1,0,0.97359
279,1.0,63,1,1,0.973495
280,0.0,3,1,0,0.9734
281,0.0,31,1,0,0.973305
282,1.0,197,1,2,0.97321
283,0.0,23,1,0,0.973115
284,0.0,79,1,0,0.97302
285,1.0,144,1,2,0.972925
286,0.0,16,1,0,0.97283
287,0.0,8,1,0,0.972735
288,0.0,23,1,0,0.97264
289,0.0,36,1,0,0.972545
290,0.0,13,1,0,0.97245
291,0.0,25,1,0,0.972355
292,0.0,18,1,0,0.97226
293,0.0,4,1,0,0.972165
294,0.0,23,1,0,0.97207
295,0.0,36,1,0,0.971975
296,0.0,8,1,0,0.97188
297,0.0,37,1,0,0.971785
298,0.0,29,1,0,0.97169
299,0.0,9,1,0,0.971595
300,0.0,2,1,0,0.9715
301,0.0,9,1,0,0.971405
302,0.0,11,1,0,0.97131
303,0.0,25,1,0,0.971215
304,0.0,95,1,0,0.97112
305,1.0,126,1,2,0.971025
306,1.0,85,1,2,0.97093
307,0.0,10,1,0,0.970835
308,0.0,23,1,0,0.97074
309,0.0,234,1,1,0.970645
310,0.0,14,1,0,0.97055
311,0.0,16,1,0,0.970455
312,0.0,49,1,0,0.97036
313,0.0,4,1,0,0.970265
314,0.0,3,1,0,0.97017
315,1.0,122,1,2,0.970075
316,0.0,10,1,0,0.96998
317,0.0,5,1,0,0.969885
318,0.0,221,1,0,0.96979
319,1.0,159,1,2,0.969695
320,0.0,5,1,0,0.9696
321,2.0,331,1,3,0.9695050000000001
322,0.0,12,1,0,0.96941
323,0.0,13,1,0,0.969315
324,0.0,17,1,0,0.96922
325,0.0,24,1,0,0.969125
326,0.0,6,1,0,0.9690300000000001
327,0.0,13,1,0,0.968935
328,0.0,2,1,0,0.96884
329,0.0,6,1,0,0.968745
330,0.0,15,1,0,0.96865
331,0.0,4,1,0,0.968555
332,0.0,30,1,0,0.96846
333,0.0,26,1,0,0.968365
334,0.0,4,1,0,0.96827
335,0.0,7,1,0,0.968175
336,0.0,8,1,0,0.96808
337,1.0,248,1,2,0.967985
338,0.0,30,1,0,0.96789
339,1.0,91,1,2,0.967795
340,0.0,97,1,0,0.9677
341,0.0,80,1,1,0.967605
342,0.0,11,1,0,0.96751
343,0.0,400,0,1,0.967415
344,0.0,4,1,0,0.96732
345,1.0,250,1,2,0.967225
346,0.0,19,1,0,0.96713
347,0.0,7,1,0,0.967035
348,0.0,10,1,0,0.96694
349,0.0,4,1,0,0.966845
350,1.0,52,1,2,0.96675
351,0.0,4,1,0,0.966655
352,0.0,5,1,0,0.96656
353,1.0,400,0,2,0.966465
354,0.0,5,1,0,0.96637
355,0.0,14,1,0,0.966275
356,0.0,18,1,0,0.96618
357,0.0,101,1,0,0.966085
358,1.0,114,1,2,0.96599
359,0.0,22,1,0,0.965895
360,0.0,104,1,0,0.9658
361,0.0,4,1,0,0.965705
362,1.0,297,1,2,0.96561
363,0.0,6,1,0,0.965515
364,0.0,50,1,0,0.96542
365,2.0,152,1,3,0.965325
366,0.0,4,1,0,0.96523
367,0.0,34,1,0,0.965135
368,0.0,9,1,0,0.96504
369,0.0,7,1,0,0.9649449999999999
370,0.0,29,1,0,0.96485
371,0.0,4,1,0,0.964755
372,1.0,167,1,2,0.96466
373,0.0,11,1,0,0.964565
374,0.0,41,1,0,0.96447
375,0.0,29,1,0,0.964375
376,0.0,9,1,0,0.96428
377,0.0,75,1,1,0.964185
378,0.0,36,1,0,0.96409
379,0.0,34,1,0,0.963995
380,0.0,3,1,0,0.9639
381,0.0,20,1,0,0.963805
382,0.0,55,1,1,0.96371
383,0.0,10,1,0,0.963615
384,0.0,15,1,0,0.96352
385,0.0,11,1,0,0.963425
386,0.0,27,1,0,0.96333
387,0.0,64,1,0,0.963235
388,0.0,53,1,0,0.96314
389,0.0,12,1,0,0.963045
390,0.0,34,1,0,0.96295
391,0.0,15,1,0,0.962855
392,0.0,53,1,1,0.9627600000000001
393,0.0,57,1,0,0.962665
394,0.0,32,1,0,0.96257
395,0.0,9,1,0,0.962475
396,0.0,14,1,0,0.96238
397,0.0,34,1,0,0.9622850000000001
398,0.0,16,1,0,0.96219
399,1.0,126,1,2,0.962095
400,0.0,9,1,0,0.962
401,0.0,15,1,0,0.961905
402,0.0,70,1,0,0.96181
403,0.0,30,1,0,0.961715
404,0.0,203,1,0,0.96162
405,0.0,43,1,0,0.961525
406,0.0,25,1,0,0.96143
407,0.0,35,1,0,0.961335
408,0.0,21,1,0,0.96124
409,0.0,44,1,0,0.961145
410,0.0,27,1,0,0.96105
411,0.0,100,1,0,0.960955
412,3.0,295,1,3,0.96086
413,0.0,29,1,0,0.960765
414,0.0,3,1,0,0.96067
415,1.0,126,1,1,0.960575
416,0.0,78,1,0,0.96048
417,2.0,190,1,2,0.960385
418,0.0,104,1,1,0.96029
419,0.0,118,1,0,0.960195
420,0.0,63,1,1,0.9601
421,0.0,72,1,1,0.960005
422,1.0,80,1,2,0.95991
423,0.0,18,1,0,0.959815
424,1.0,123,1,1,0.95972
425,0.0,5,1,0,0.959625
426,0.0,31,1,0,0.95953
427,0.0,2,1,0,0.959435
428,4.0,306,0,4,0.95934
429,0.0,15,1,0,0.959245
430,0.0,8,1,0,0.95915
431,0.0,11,1,0,0.959055
432,1.0,138,1,2,0.95896
433,0.0,15,1,0,0.958865
434,1.0,123,1,2,0.95877
435,0.0,44,1,0,0.958675
436,0.0,39,1,0,0.95858
437,0.0,11,1,0,0.958485
438,0.0,33,1,0,0.95839
439,0.0,12,1,0,0.958295
440,0.0,94,1,0,0.9582
441,0.0,4,1,0,0.958105
442,0.0,5,1,0,0.95801
443,0.0,43,1,0,0.957915
444,1.0,102,1,2,0.95782
445,0.0,48,1,0,0.957725
446,0.0,4,1,0,0.95763
447,0.0,6,1,0,0.957535
448,0.0,5,1,0,0.95744
449,0.0,65,1,0,0.957345
450,0.0,64,1,0,0.95725
451,1.0,234,1,2,0.957155
452,0.0,34,1,0,0.95706
453,0.0,80,1,0,0.956965
454,0.0,5,1,0,0.95687
455,0.0,6,1,0,0.956775
456,0.0,24,1,0,0.95668
457,0.0,45,1,0,0.956585
458,0.0,28,1,0,0.95649
459,0.0,43,1,1,0.956395
460,0.0,22,1,0,0.9563
461,0.0,16,1,0,0.956205
462,0.0,23,1,0,0.95611
463,0.0,17,1,0,0.9560150000000001
464,0.0,32,1,0,0.95592
465,0.0,4,1,0,0.955825
466,0.0,10,1,0,0.95573
467,0.0,9,1,0,0.955635
468,0.0,8,1,0,0.9555400000000001
469,0.0,25,1,0,0.955445
470,0.0,118,1,0,0.95535
471,0.0,51,1,1,0.955255
472,1.0,400,0,1,0.95516
473,0.0,22,1,0,0.955065
474,0.0,11,1,0,0.95497
475,0.0,8,1,0,0.954875
476,0.0,86,1,0,0.95478
477,1.0,206,1,2,0.954685
478,1.0,400,0,2,0.95459
479,0.0,8,1,0,0.954495
480,1.0,148,1,2,0.9544
481,0.0,22,1,0,0.954305
482,0.0,17,1,1,0.95421
483,0.0,8,1,0,0.954115
484,0.0,57,1,0,0.95402
485,0.0,48,1,0,0.953925
486,0.0,16,1,0,0.95383
487,0.0,35,1,0,0.953735
488,0.0,3,1,0,0.95364
489,0.0,64,1,0,0.953545
490,0.0,24,1,0,0.95345
491,1.0,327,1,2,0.953355
492,0.0,8,1,0,0.95326
493,0.0,102,1,1,0.953165
494,0.0,23,1,0,0.95307
495,1.0,177,1,2,0.952975
496,0.0,7,1,0,0.95288
497,0.0,9,1,0,0.952785
498,1.0,154,1,2,0.95269
499,0.0,33,1,0,0.952595
500,0.0,26,1,0,0.9525
501,0.0,13,1,0,0.952405
502,1.0,176,1,2,0.95231
503,0.0,47,1,0,0.952215
504,0.0,14,1,0,0.95212
505,0.0,30,1,0,0.952025
506,1.0,162,1,2,0.95193
507,0.0,17,1,0,0.951835
508,0.0,89,1,0,0.95174
509,0.0,11,1,0,0.951645
