#{"t_start": 1788950860.906715, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-15.48,298,0.620654,1,0,0,5,True
-14.39,189,0.710157,1,0,0,5,True
-11.65,415,0.915061,1,1,0,5,True
-14.38,188,0.999983,1,0,0,5,True
-14.41,191,1.081125,1,0,0,5,True
-14.35,185,1.163847,1,0,0,5,True
-14.61,211,1.256145,1,0,0,5,True
-14.79,229,1.358778,1,0,0,5,True
-15.06,456,2.170652,1,0,2,5,True
-14.41,191,2.267443,1,0,0,5,True
-14.63,213,2.365059,1,0,0,5,True
-14.73,223,2.464334,1,0,0,5,True
-15.04,254,2.576704,1,0,0,5,True
-9.74,324,2.720479,1,1,1,5,True
-14.12,162,2.792657,1,0,0,5,True
-15.41,291,2.915458,1,0,0,5,True
-14.4,190,3.470146,1,0,0,5,True
-14.39,189,3.541652,1,0,0,5,True
-9.9,240,3.63324,1,1,0,5,True
-15.04,254,3.728562,1,0,0,5,True
-15.54,304,3.843161,1,0,0,5,True
-15.19,269,3.943342,1,0,0,5,True
-14.76,226,4.026552,1,0,0,5,True
-16.84,434,4.183427,1,0,0,5,True
-14.58,208,4.678666,1,0,0,5,True
-14.43,293,4.778173,1,0,1,5,True
-15.63,313,4.884118,1,0,0,5,True
-14.89,239,4.96465,1,0,0,5,True
-13.29,179,5.023915,1,0,1,5,True
-15.73,423,5.167925,1,0,1,5,True
-9.36,186,5.230578,1,1,0,5,True
-15.78,328,5.742224,1,0,0,5,True
-17.18,568,5.939775,1,0,1,5,True
-16.87,437,6.091002,1,0,0,5,True
-16.5,700,6.337434,1,0,3,5,True
-14.08,158,6.393638,1,0,0,5,True
-15.47,697,7.042501,1,0,4,5,True
-13.26,676,7.28634,1,0,6,5,True
-16.49,499,7.466152,1,0,1,5,True
-17.23,773,8.146805,1,0,3,5,True
4.68,582,8.353793,2,2,3,5,True
-13.0,2000,9.5042,1,1,4,4,False
-4.82,1632,10.541769,2,2,4,5,True
-1.03,1553,11.580746,2,2,7,5,True
-13.34,584,11.810899,1,0,5,5,True
8.9,560,12.031572,2,3,2,5,True
-5.88,938,12.819887,1,1,11,5,True
-7.56,406,12.97716,1,1,4,5,True
-15.21,371,13.119444,1,0,1,5,True
-4.18,668,13.374515,1,0,15,5,True
5.37,1113,14.209347,2,2,9,5,True
-9.27,477,14.386973,1,1,3,5,True
-6.77,627,14.620327,1,1,7,5,True
-5.35,385,17.117127,1,1,6,5,True
-8.09,659,18.549853,1,1,6,5,True
-13.42,592,19.654155,1,0,5,5,True
6.86,564,20.689605,2,2,5,5,True
8.37,613,23.923966,2,2,7,5,True
5.06,844,25.695707,2,2,6,5,True
-8.24,574,26.967425,1,1,5,5,True
8.0,550,30.185274,2,2,6,5,True
-6.21,571,31.449329,1,0,12,5,True
-8.61,511,32.600591,1,1,4,5,True
10.83,667,35.913265,2,2,10,5,True
8.82,768,37.397668,2,2,9,5,True
10.97,1153,39.711367,2,3,10,5,True
0.56,594,42.98018,1,1,14,5,True
-5.98,548,44.089132,1,1,7,5,True
13.76,674,200.582572,2,2,13,5,True
8.88,962,201.596006,2,2,11,5,True
-9.01,351,201.732106,1,1,2,5,True
9.43,407,201.895626,2,2,6,5,True
5.21,729,202.723253,2,2,5,5,True
22.0,2000,203.94104,2,4,14,4,False
9.0,2000,205.117541,2,3,6,4,False
7.8,470,205.303691,2,2,5,5,True
8.19,531,205.508156,2,2,6,5,True
7.24,526,205.727401,2,2,5,5,True
10.66,884,206.498213,2,2,12,5,True
10.54,596,206.72534,2,2,9,5,True
4.9,760,207.06597,2,2,5,5,True
32.0,2000,208.259901,3,5,9,4,False
7.02,548,208.884573,2,2,5,5,True
36.0,2000,210.082038,3,5,13,4,False
10.39,511,210.280526,2,2,8,5,True
14.54,896,210.637115,2,3,11,5,True
-13.89,339,210.782902,1,0,2,5,True
