#{"t_start": 1788626570.8394082, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-12.66,216,0.389772,1,0,2,5,True
-13.51,301,0.609559,1,0,2,5,True
-14.69,219,0.68664,1,0,0,5,True
-9.39,389,0.92772,1,0,7,5,True
-13.12,262,1.012596,1,0,2,5,True
-13.16,266,1.205549,1,0,2,5,True
-12.64,314,1.316059,1,0,3,5,True
-12.61,211,1.492595,1,0,2,5,True
-12.88,238,1.575593,1,0,2,5,True
-13.29,279,1.772818,1,0,2,5,True
-13.54,204,1.843351,1,0,1,5,True
-14.11,161,1.899363,1,0,0,5,True
-14.4,290,2.105574,1,0,1,5,True
-15.49,299,2.314645,1,0,0,5,True
-14.3,180,2.377194,1,0,0,5,True
-13.58,308,2.58465,1,0,2,5,True
-13.36,186,2.649463,1,0,1,5,True
-14.9,240,2.73338,1,0,0,5,True
-14.34,184,2.900225,1,0,0,5,True
-13.87,337,3.015635,1,0,2,5,True
-14.15,265,3.210899,1,0,1,5,True
-14.01,151,3.26362,1,0,0,5,True
-14.31,181,3.431366,1,0,0,5,True
-13.47,197,3.500652,1,0,1,5,True
-14.27,277,3.703085,1,0,1,5,True
-13.61,211,3.796429,1,0,1,5,True
-14.15,165,3.854602,1,0,0,5,True
-13.2,270,4.057037,1,0,2,5,True
-11.65,315,4.169708,1,0,4,5,True
-13.9,340,4.394776,1,0,2,5,True
-9.27,377,4.630339,1,0,7,5,True
-11.41,291,4.731245,1,0,4,5,True
-11.7,320,4.947418,1,0,4,5,True
-8.91,441,5.207029,1,1,3,5,True
-13.15,265,5.303007,1,0,2,5,True
-13.38,288,5.505815,1,0,2,5,True
-12.93,243,5.59403,1,0,2,5,True
-15.54,304,5.803677,1,0,0,5,True
-14.31,181,5.867696,1,0,0,5,True
-11.39,289,6.070762,1,0,4,5,True
-13.91,241,6.153096,1,0,1,5,True
-15.23,273,6.353022,1,0,0,5,True
-13.96,346,6.582695,1,0,2,5,True
-2.78,628,6.90907,1,1,11,5,True
-12.36,186,6.974761,1,0,2,5,True
-11.04,554,7.289354,1,0,7,5,True
