#{"t_start": 1788626619.6392949, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-8.42,192,0.382601,1,1,1,5,True
-11.72,322,0.49814,1,0,4,5,True
-12.58,408,0.641073,1,0,4,5,True
-13.35,185,0.706805,1,0,1,5,True
-12.84,234,0.790842,1,0,2,5,True
-8.35,185,0.85536,1,1,1,5,True
-10.92,342,0.977108,1,0,5,5,True
-13.71,221,1.647134,1,0,1,5,True
-13.13,263,1.739619,1,0,2,5,True
-12.46,296,1.845791,1,0,3,5,True
-13.37,287,1.948998,1,0,2,5,True
-13.54,204,2.022681,1,0,1,5,True
-7.93,343,2.147221,1,1,3,5,True
-14.27,177,2.210332,1,0,0,5,True
-13.45,195,2.280552,1,0,1,5,True
-11.32,282,2.959881,1,0,4,5,True
-13.24,274,3.049791,1,0,2,5,True
-13.72,122,3.093463,1,0,0,5,True
-14.03,353,3.221518,1,0,2,5,True
-12.53,303,3.331253,1,0,3,5,True
-10.97,247,3.419721,1,0,4,5,True
-14.16,366,3.553638,1,0,2,5,True
-13.53,303,3.66462,1,0,2,5,True
-10.98,448,4.419292,1,0,6,5,True
-11.51,301,4.531429,1,0,4,5,True
-12.02,252,4.623476,1,0,3,5,True
-13.98,348,4.750856,1,0,2,5,True
-12.79,429,4.904417,1,0,4,5,True
-9.47,597,5.695052,1,0,9,5,True
-10.67,517,5.886337,1,0,7,5,True
-12.75,225,5.967319,1,0,2,5,True
-11.13,363,6.102281,1,0,5,5,True
-6.26,776,6.950384,1,1,9,5,True
-12.49,299,7.062721,1,0,3,5,True
-7.96,646,7.297405,1,0,11,5,True
-6.75,525,7.489491,1,0,11,5,True
-8.94,644,8.28547,1,0,10,5,True
-8.7,820,8.59553,1,0,12,5,True
-5.59,509,8.782995,1,1,7,5,True
