#{"t_start": 1789147807.418368, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-12.23,173,0.403944,1,0,2,5,True
-11.54,304,0.51081,1,0,4,5,True
-13.76,226,0.592677,1,0,1,5,True
-13.54,204,0.663048,1,0,1,5,True
-14.54,204,0.733771,1,0,0,5,True
-15.48,298,0.838244,1,0,0,5,True
-11.63,213,0.91128,1,0,3,5,True
-14.43,193,0.980897,1,0,0,5,True
-12.87,237,1.661937,1,0,2,5,True
-13.47,197,1.73084,1,0,1,5,True
-13.26,176,1.789954,1,0,1,5,True
-8.16,366,1.920652,1,1,3,5,True
-13.71,221,1.999995,1,0,1,5,True
-13.62,112,2.042214,1,0,0,5,True
-13.51,301,2.143338,1,0,2,5,True
-11.86,336,2.255222,1,0,4,5,True
-10.48,498,3.010832,1,0,7,5,True
-11.83,233,3.098165,1,0,3,5,True
-8.98,348,3.230602,1,1,2,5,True
-9.23,473,3.409997,1,0,8,5,True
-13.43,293,3.520662,1,0,2,5,True
-15.21,271,3.623391,1,0,0,5,True
-13.66,216,3.70627,1,0,1,5,True
-10.35,285,4.410762,1,1,0,5,True
-12.53,303,4.518127,1,0,3,5,True
-13.68,418,4.659472,1,0,3,5,True
-11.02,352,4.79157,1,0,5,5,True
-13.84,134,4.841448,1,0,0,5,True
-12.14,364,4.977349,1,0,4,5,True
-11.15,265,5.652109,1,0,4,5,True
-11.66,416,5.810589,1,0,5,5,True
-13.83,233,5.898965,1,0,1,5,True
-10.16,566,6.119011,1,0,8,5,True
-14.01,451,6.271587,1,0,3,5,True
-14.25,275,6.363038,1,0,1,5,True
-6.49,799,7.237146,1,0,14,5,True
-10.24,374,7.378078,1,0,6,5,True
-4.79,729,7.655722,1,0,15,5,True
-8.5,500,8.433692,1,0,9,5,True
-10.98,548,8.646022,1,0,7,5,True
-6.48,398,8.807429,1,1,5,5,True
