#{"t_start": 1789115243.626318, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated,pickups_collected,shield_blocks,elites_killed
-17.19,469,0.701117,1,0,0,5,True,0,0,0
-14.34,184,0.765521,1,0,0,5,True,0,0,0
-15.61,311,0.869422,1,0,0,5,True,0,0,0
-16.83,433,1.015974,1,0,0,5,True,0,0,0
-15.39,289,1.114045,1,0,0,5,True,0,0,0
-14.33,183,1.176489,1,0,0,5,True,0,0,0
-14.95,245,1.742216,1,0,0,5,True,0,0,0
-15.5,300,1.848794,1,0,0,5,True,0,0,0
-14.74,224,1.938393,1,0,0,5,True,0,0,0
-16.52,402,2.074724,1,0,0,5,True,0,0,0
-14.29,179,2.135697,1,0,0,5,True,0,0,0
-13.88,138,2.183192,1,0,0,5,True,0,0,0
-13.69,119,2.224807,1,0,0,5,True,0,0,0
-16.29,379,2.355284,1,0,0,5,True,0,0,0
-14.38,188,2.423269,1,0,0,5,True,0,0,0
-13.71,221,2.945017,1,0,1,5,True,0,0,0
-16.63,413,3.099029,1,0,0,5,True,0,0,0
-15.03,253,3.192074,1,0,0,5,True,0,0,0
-14.82,232,3.27071,1,0,0,5,True,0,0,0
-14.31,181,3.32533,1,0,0,5,True,0,0,0
-14.42,392,3.450614,1,0,2,5,True,0,0,0
-15.73,323,3.556269,1,0,0,5,True,0,0,0
-16.11,361,4.135938,1,0,0,5,True,0,0,0
-14.6,210,4.205231,1,0,0,5,True,0,0,0
-13.89,239,4.286783,1,0,1,5,True,0,0,0
-15.11,261,4.376019,1,0,0,5,True,0,0,0
-14.33,183,4.438774,1,0,0,5,True,0,0,0
-13.92,142,4.486249,1,0,0,5,True,0,0,0
-14.29,279,4.584049,1,0,1,5,True,0,0,0
-14.76,226,4.661535,1,0,0,5,True,0,0,0
-12.84,134,4.706968,1,0,1,5,True,0,0,0
-14.86,436,5.318544,1,0,2,5,True,0,0,0
-14.96,246,5.406297,1,0,0,5,True,0,0,0
-15.65,315,5.513783,1,0,0,5,True,0,0,0
-13.88,138,5.560203,1,0,0,5,True,0,0,0
-5.92,342,5.677779,1,1,5,5,True,0,0,0
-11.59,409,5.842832,1,1,0,5,True,0,0,0
-16.53,403,6.438211,1,0,0,5,True,0,0,0
-13.75,125,6.479264,1,0,0,5,True,0,0,0
-17.02,452,6.630602,1,0,0,5,True,0,0,0
-14.09,159,6.683215,1,0,0,5,True,0,0,0
-14.38,288,6.787199,1,0,1,5,True,0,0,0
-14.89,439,6.952067,1,0,2,5,True,0,0,0
-16.97,447,7.565507,1,0,0,5,True,0,0,0
-15.46,496,7.745129,1,0,2,5,True,0,0,0
-16.36,686,7.993606,1,0,3,5,True,0,0,0
-17.72,722,8.282656,1,0,2,5,True,0,0,0
-14.47,297,8.842469,1,0,1,5,True,0,0,0
-13.49,699,9.116203,1,1,1,5,True,0,0,0
-7.97,547,9.329703,1,1,5,5,True,1,1,0
-13.7,120,9.376999,1,0,0,5,True,0,0,0
-12.0,2000,10.632298,1,1,5,4,False,0,0,0
2.75,675,11.336486,2,2,2,5,True,0,0,0
1.39,1411,11.91824,2,2,8,5,True,0,0,0
-13.92,642,12.603446,1,0,5,5,True,0,0,0
-6.41,491,12.794176,1,1,6,5,True,1,1,0
-13.12,1162,13.261263,1,1,6,5,True,0,0,0
3.9,660,13.972846,2,2,3,5,True,1,1,0
-12.04,654,14.267583,1,0,7,5,True,0,0,0
-13.69,519,14.454291,1,0,4,5,True,0,0,0
4.93,957,15.284821,2,2,7,5,True,0,0,0
-1.56,706,15.550497,1,1,13,5,True,0,0,0
-12.06,256,15.644624,1,0,3,5,True,0,0,0
3.64,886,16.477318,2,2,5,5,True,0,0,0
-13.61,211,16.570873,1,0,1,5,True,0,0,0
-4.95,545,16.777119,1,1,8,5,True,1,1,0
4.41,909,17.149341,2,2,6,5,True,0,0,0
-7.86,336,17.732503,1,1,3,5,True,0,0,0
8.29,721,18.00381,2,2,8,5,True,2,2,0
-9.03,553,18.230267,1,1,4,5,True,0,0,0
