#{"t_start": 1789115243.625472, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated,pickups_collected,shield_blocks,elites_killed
14.0,2000,43.870853,2,4,5,2,False,0,0,0
17.0,2000,45.184056,2,3,13,2,False,0,0,0
13.5,2000,46.541352,2,4,5,3,False,1,1,0
9.09,741,47.306135,2,2,9,5,True,0,0,0
-12.99,149,47.367211,1,0,1,5,True,0,0,0
6.79,371,47.523852,2,2,3,5,True,1,1,0
18.34,816,47.875289,2,2,19,5,True,0,0,1
4.5,2000,49.203572,2,3,1,3,False,0,0,0
12.0,2000,50.546296,2,3,9,4,False,1,1,0
-6.46,496,51.214568,1,0,11,5,True,0,0,0
15.2,830,51.594243,2,2,16,5,True,0,0,0
-7.63,313,51.73554,1,1,3,5,True,0,0,0
6.12,338,51.887683,2,2,2,5,True,2,2,0
6.8,370,52.495959,2,2,3,5,True,0,0,0
15.0,2000,53.821482,2,4,5,0,False,2,1,0
7.89,661,54.134764,2,2,7,5,True,0,0,0
3.87,663,54.424163,2,2,3,5,True,1,1,0
21.0,2000,55.749621,2,4,13,4,False,0,0,0
10.57,493,55.981137,2,3,3,5,True,1,1,0
13.0,2000,57.334339,2,4,3,0,False,1,1,0
14.0,2000,58.653419,2,4,5,2,False,0,0,0
9.71,579,59.376162,2,2,8,5,True,1,1,0
13.0,2000,60.711467,2,4,3,0,False,1,0,0
4.82,968,61.147132,2,3,2,5,True,1,1,0
16.5,2000,62.524122,2,4,8,3,False,1,1,0
5.93,457,62.719478,2,2,3,5,True,0,0,0
15.33,617,63.442283,2,2,14,5,True,0,0,0
22.5,2000,64.807998,2,5,9,3,False,1,0,0
11.5,2000,66.154404,2,4,2,1,False,0,0,0
6.03,847,66.547618,2,2,7,5,True,1,1,0
16.0,2000,67.908514,2,5,3,4,False,1,0,0
17.0,2000,69.266022,2,4,8,2,False,2,2,0
4.09,741,69.589354,2,2,4,5,True,0,0,0
16.0,2000,70.954014,2,5,3,4,False,1,0,0
8.0,2000,72.30151,2,3,4,2,False,1,1,0
13.0,2000,73.627474,2,4,4,2,False,1,1,0
13.49,801,74.406651,2,3,9,5,True,1,1,0
8.83,767,74.741278,2,2,9,5,True,1,1,0
20.5,2000,76.117521,2,5,6,1,False,2,1,0
5.45,305,76.253591,2,2,1,5,True,1,1,0
