#{"t_start": 1789115243.627466, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated,pickups_collected,shield_blocks,elites_killed
-14.71,221,0.594922,1,0,0,5,True,0,0,0
-14.85,235,0.692218,1,0,0,5,True,0,0,0
-14.78,228,0.774753,1,0,0,5,True,0,0,0
-13.93,143,0.821884,1,0,0,5,True,0,0,0
-14.44,194,0.887359,1,0,0,5,True,0,0,0
-15.33,283,0.983335,1,0,0,5,True,0,0,0
-14.78,228,1.058974,1,0,0,5,True,0,0,0
-15.03,253,1.146716,1,0,0,5,True,0,0,0
-13.9,140,1.195544,1,0,0,5,True,0,0,0
-14.16,166,1.734085,1,0,0,5,True,0,0,0
-14.17,167,1.789124,1,0,0,5,True,0,0,0
-15.28,278,1.88407,1,0,0,5,True,0,0,0
-10.74,324,2.012322,1,1,0,5,True,1,1,0
-14.52,202,2.081277,1,0,0,5,True,0,0,0
-14.08,158,2.134918,1,0,0,5,True,0,0,0
-14.72,222,2.211588,1,0,0,5,True,0,0,0
-16.58,408,2.352108,1,0,0,5,True,0,0,0
-12.79,429,2.94948,1,0,4,5,True,0,0,0
-16.25,375,3.089464,1,0,0,5,True,0,0,0
-16.78,428,3.245261,1,0,0,5,True,0,0,0
-15.37,287,3.332116,1,0,0,5,True,0,0,0
-14.69,219,3.402179,1,0,0,5,True,0,0,0
-13.56,406,3.534603,1,0,3,5,True,0,0,0
-16.09,359,4.111959,1,0,0,5,True,0,0,0
-13.48,198,4.177683,1,0,1,5,True,0,0,0
-14.5,200,4.244837,1,0,0,5,True,0,0,0
-13.91,141,4.29386,1,0,0,5,True,0,0,0
-13.52,202,4.362446,1,0,1,5,True,0,0,0
-14.29,179,4.424307,1,0,0,5,True,0,0,0
-15.2,270,4.515821,1,0,0,5,True,0,0,0
-15.48,298,4.62071,1,0,0,5,True,0,0,0
-15.11,261,4.708875,1,0,0,5,True,0,0,0
-15.51,301,5.272502,1,0,0,5,True,0,0,0
-15.4,290,5.375996,1,0,0,5,True,0,0,0
-15.01,451,5.530893,1,0,2,5,True,0,0,0
-15.18,568,5.727415,1,0,3,5,True,0,0,0
-14.68,218,5.818087,1,0,0,5,True,0,0,0
-15.04,454,6.437803,1,0,2,5,True,0,0,0
-14.08,158,6.48959,1,0,0,5,True,0,0,0
-13.13,563,6.677671,1,1,0,5,True,0,0,0
-14.91,241,6.762841,1,0,0,5,True,0,0,0
-16.63,513,6.956218,1,0,1,5,True,0,0,0
-16.4,390,7.105288,1,0,0,5,True,0,0,0
-15.91,341,7.674519,1,0,0,5,True,0,0,0
-15.43,393,7.812488,1,0,1,5,True,0,0,0
-22.07,1657,8.897123,1,1,2,5,True,0,0,0
-20.02,852,9.230046,1,0,1,5,True,0,0,0
12.0,2000,10.479051,2,4,3,2,False,0,0,0
-14.37,187,10.551818,1,0,0,5,True,0,0,0
1.92,1258,11.494798,2,2,7,5,True,0,0,0
1.07,1543,12.111208,2,2,9,5,True,1,1,0
1.89,1561,13.184752,2,2,10,5,True,1,1,0
9.31,919,13.997462,2,2,11,5,True,0,0,0
7.4,610,14.272812,2,2,6,5,True,0,0,0
-11.03,553,14.470837,1,0,7,5,True,0,0,0
2.4,810,15.247475,2,2,3,5,True,1,1,0
-9.74,324,15.366787,1,0,6,5,True,0,0,0
6.0,2000,16.636026,2,3,3,4,False,0,0,0
-10.74,724,16.923335,1,0,9,5,True,0,0,0
4.17,333,17.055668,2,2,0,5,True,0,0,0
-7.93,543,17.722455,1,0,10,5,True,0,0,0
-13.18,268,17.820666,1,0,2,5,True,0,0,0
10.42,1108,18.263535,2,2,14,5,True,0,0,0
-14.01,251,18.373862,1,0,1,5,True,0,0,0
0.81,1269,19.361682,2,2,6,5,True,0,0,0
-8.0,650,19.64229,1,0,11,5,True,0,0,0
6.14,1536,20.709538,2,2,14,5,True,1,1,0
10.0,2000,22.020877,2,3,7,4,False,0,0,0
8.41,909,22.400774,2,2,10,5,True,1,1,0
1.59,891,23.20683,2,2,3,5,True,0,0,0
-7.63,413,23.383297,1,1,4,5,True,0,0,0
13.5,2000,24.702615,2,4,4,1,False,2,2,0
9.0,2000,26.059065,2,4,1,4,False,1,0,0
12.51,799,26.389863,2,2,13,5,True,0,0,0
16.0,2000,27.63147,2,4,7,2,False,1,0,0
4.95,755,28.395553,2,2,5,5,True,2,2,0
-7.09,259,28.510271,1,1,3,5,True,1,1,0
-11.48,198,28.593867,1,0,3,5,True,0,0,0
3.36,614,28.851143,2,2,2,5,True,0,0,0
6.64,786,29.613767,2,2,7,5,True,0,0,0
8.03,747,29.934146,2,2,8,5,True,0,0,0
-5.91,541,30.176622,1,1,7,5,True,1,1,0
11.07,843,30.983507,2,4,2,5,True,2,2,0
7.1,640,31.258254,2,2,6,5,True,0,0,0
18.5,2000,32.562137,2,4,10,3,False,1,0,0
-7.85,335,32.711906,1,1,3,5,True,0,0,0
12.0,2000,34.04091,2,3,8,2,False,0,0,0
7.36,514,34.259576,2,2,5,5,True,1,1,0
10.53,597,34.965003,2,2,9,5,True,0,0,0
12.0,2000,36.267478,2,2,14,4,False,2,2,0
6.63,687,36.555504,2,2,6,5,True,1,1,0
14.09,1241,37.542552,2,2,19,5,True,1,1,1
4.0,2000,38.85223,2,2,5,2,False,0,0,0
22.0,2000,40.249696,2,4,13,2,False,3,3,0
9.19,431,40.468743,2,2,6,5,True,2,2,0
11.5,2000,41.822339,2,4,2,1,False,0,0,0
7.14,536,42.0534,2,2,5,5,True,0,0,0
10.76,774,42.423939,2,2,11,5,True,1,1,0
14.0,2000,43.791703,2,4,4,0,False,1,0,0
12.34,1516,44.894932,2,4,10,5,True,1,1,0
-7.07,257,45.006497,1,1,3,5,True,0,0,0
18.0,2000,46.357219,2,3,14,2,False,2,2,0
5.02,448,46.557109,2,2,2,5,True,0,0,0
15.0,2000,47.857322,2,4,7,4,False,2,1,0
4.36,814,48.650905,2,2,5,5,True,1,1,0
10.34,1116,49.150815,2,2,14,5,True,1,1,0
-13.28,178,49.234053,1,0,1,5,True,0,0,0
12.0,2000,50.575524,2,4,4,4,False,1,0,0
8.0,2000,51.928776,2,3,4,2,False,1,1,0
13.86,464,52.579744,2,3,6,5,True,2,2,0
-8.22,272,52.698942,1,1,2,5,True,0,0,0
12.0,2000,54.039539,2,4,3,2,False,0,0,0
2.87,663,54.339027,2,2,2,5,True,1,1,0
12.0,2000,55.653606,2,4,4,4,False,1,1,0
10.5,2000,57.006323,2,4,2,3,False,2,1,0
9.0,2000,58.356518,2,4,1,4,False,1,0,0
-11.74,424,58.534901,1,0,5,5,True,0,0,0
10.0,2000,59.895152,2,4,1,2,False,0,0,0
10.5,2000,61.22418,2,4,2,3,False,0,0,0
11.34,416,61.411615,2,3,3,5,True,0,0,0
4.95,455,62.06549,2,2,2,5,True,0,0,0
8.78,872,62.488419,2,2,10,5,True,0,0,0
7.02,648,62.771961,2,2,6,5,True,1,1,0
11.0,2000,64.1246,2,4,3,4,False,2,1,0
19.0,750,64.911959,2,4,9,5,True,0,0,0
16.0,2000,66.273268,2,4,7,2,False,1,1,0
