#{"t_start": 1789115243.6252851, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated,pickups_collected,shield_blocks,elites_killed
-14.47,197,0.588098,1,0,0,5,True,0,0,0
-11.67,617,0.81966,1,1,2,5,True,0,0,0
-14.55,305,0.922402,1,0,1,5,True,0,0,0
-14.39,189,0.986945,1,0,0,5,True,0,0,0
-14.1,160,1.040688,1,0,0,5,True,0,0,0
-9.77,227,1.118321,1,1,0,5,True,0,0,0
-14.22,172,1.17684,1,0,0,5,True,0,0,0
-15.2,270,1.749918,1,0,0,5,True,0,0,0
-14.35,185,1.81747,1,0,0,5,True,0,0,0
-15.37,287,1.927838,1,0,0,5,True,0,0,0
-14.95,245,2.012466,1,0,0,5,True,0,0,0
-14.09,259,2.100487,1,0,1,5,True,0,0,0
-14.46,196,2.167349,1,0,0,5,True,0,0,0
-14.49,199,2.237166,1,0,0,5,True,0,0,0
-14.39,189,2.300724,1,0,0,5,True,0,0,0
-18.2,570,2.947187,1,0,0,5,True,0,0,0
-16.84,434,3.108744,1,0,0,5,True,0,0,0
-14.14,164,3.168125,1,0,0,5,True,0,0,0
-15.41,291,3.269738,1,0,0,5,True,0,0,0
-13.89,139,3.311739,1,0,0,5,True,0,0,0
-14.06,156,3.358317,1,0,0,5,True,0,0,0
-15.0,250,3.441063,1,0,0,5,True,0,0,0
-14.38,188,3.503214,1,0,0,5,True,0,0,0
-13.92,242,3.581907,1,0,1,5,True,0,0,0
-13.84,134,4.083632,1,0,0,5,True,0,0,0
-13.25,575,4.277863,1,1,0,5,True,1,1,0
-10.15,265,4.368594,1,1,0,5,True,0,0,0
-15.57,307,4.473527,1,0,0,5,True,0,0,0
-14.0,150,4.524843,1,0,0,5,True,0,0,0
-10.62,412,4.667624,1,1,1,5,True,0,0,0
-13.64,614,5.341116,1,1,0,5,True,1,1,0
-13.79,229,5.422057,1,0,1,5,True,0,0,0
-15.3,280,5.517455,1,0,0,5,True,0,0,0
-11.49,399,5.653397,1,1,0,5,True,0,0,0
-15.49,399,5.794532,1,0,1,5,True,0,0,0
-16.07,457,6.429423,1,0,1,5,True,0,0,0
-15.21,271,6.519375,1,0,0,5,True,0,0,0
-15.61,511,6.689701,1,0,2,5,True,0,0,0
-15.17,267,6.786233,1,0,0,5,True,0,0,0
-13.85,135,6.836546,1,0,0,5,True,0,0,0
-14.31,181,6.90485,1,0,0,5,True,0,0,0
-14.08,258,7.002099,1,0,1,5,True,0,0,0
-14.26,476,7.626968,1,0,3,5,True,0,0,0
-14.2,270,7.722525,1,0,1,5,True,0,0,0
-6.53,603,7.938231,1,1,7,5,True,0,0,0
-18.21,671,8.201751,1,0,1,5,True,0,0,0
-5.55,1905,9.396667,2,2,6,5,True,0,0,0
-12.9,740,10.131552,1,1,2,5,True,1,1,0
6.15,835,10.475109,2,2,7,5,True,0,0,0
-14.37,187,10.547021,1,0,0,5,True,0,0,0
-7.0,2000,11.807854,1,1,10,4,False,0,0,0
4.74,676,12.062611,2,2,4,5,True,1,1,0
5.0,2000,13.297238,2,2,6,2,False,2,2,0
-8.57,607,13.993305,1,1,5,5,True,1,1,0
-12.51,401,14.185099,1,0,4,5,True,0,0,0
-7.55,605,14.41132,1,0,11,5,True,0,0,0
-11.25,275,14.513421,1,0,4,5,True,0,0,0
-6.25,775,15.275149,1,1,9,5,True,0,0,0
-7.26,576,15.493014,1,1,6,5,True,0,0,0
-7.7,420,15.64773,1,1,4,5,True,0,0,0
-13.04,154,15.711808,1,0,1,5,True,0,0,0
4.05,745,16.485938,2,2,4,5,True,0,0,0
2.17,1033,16.904697,2,2,5,5,True,0,0,0
-11.71,321,17.031105,1,0,4,5,True,0,0,0
-10.2,370,17.183401,1,0,6,5,True,0,0,0
-0.93,743,17.916124,1,1,14,5,True,1,1,0
4.88,562,18.134397,2,2,3,5,True,0,0,0
-7.51,501,18.351392,1,0,10,5,True,0,0,0
16.5,2000,19.655379,2,5,3,3,False,0,0,0
2.63,1087,20.546407,2,2,6,5,True,1,1,0
9.38,912,20.908295,2,2,11,5,True,1,1,0
2.25,925,21.74719,2,2,4,5,True,0,0,0
5.05,645,22.050445,2,2,4,5,True,0,0,0
9.16,834,22.396085,2,2,10,5,True,1,1,0
5.72,1078,23.281239,2,2,9,5,True,0,0,0
-10.32,282,23.40186,1,0,5,5,True,0,0,0
11.44,1006,24.276778,2,2,14,5,True,1,1,0
5.62,488,24.499564,2,2,3,5,True,0,0,0
7.09,1141,25.013216,2,2,11,5,True,0,0,0
-10.67,417,25.652661,1,0,6,5,True,0,0,0
11.5,2000,26.949168,2,3,8,3,False,0,0,0
6.87,763,27.252486,2,2,7,5,True,1,1,0
-12.49,199,27.329341,1,0,2,5,True,0,0,0
-6.79,529,27.545044,1,1,6,5,True,0,0,0
-12.32,182,27.617687,1,0,2,5,True,0,0,0
3.76,774,28.389605,2,2,4,5,True,0,0,0
6.7,480,28.597948,2,2,4,5,True,1,1,0
6.26,324,28.740164,2,2,2,5,True,1,1,0
2.86,564,28.965242,2,2,1,5,True,0,0,0
-15.41,291,29.530328,1,0,0,5,True,0,0,0
-8.33,183,29.601594,1,1,1,5,True,0,0,0
-5.45,495,29.813307,1,1,7,5,True,0,0,0
5.74,476,30.021319,2,2,3,5,True,0,0,0
9.5,2000,31.336274,2,3,6,3,False,1,1,0
9.19,831,32.148962,2,3,5,5,True,0,0,0
-6.95,245,32.24946,1,1,3,5,True,0,0,0
