#{"t_start": 1789115243.6230998, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated,pickups_collected,shield_blocks,elites_killed
-14.73,223,0.600165,1,0,0,5,True,0,0,0
-10.3,280,0.717095,1,1,0,5,True,0,0,0
-14.17,167,0.774513,1,0,0,5,True,0,0,0
-15.49,299,0.874384,1,0,0,5,True,0,0,0
-13.89,139,0.920944,1,0,0,5,True,0,0,0
-15.17,267,1.011758,1,0,0,5,True,0,0,0
-15.45,295,1.111558,1,0,0,5,True,0,0,0
-14.7,220,1.187204,1,0,0,5,True,0,0,0
-14.29,179,1.730918,1,0,0,5,True,0,0,0
-14.46,196,1.796762,1,0,0,5,True,0,0,0
-14.34,184,1.862177,1,0,0,5,True,0,0,0
-15.79,329,1.989465,1,0,0,5,True,0,0,0
-14.26,276,2.082885,1,0,1,5,True,0,0,0
-16.78,428,2.230234,1,0,0,5,True,0,0,0
-14.41,191,2.295139,1,0,0,5,True,0,0,0
-14.34,184,2.359266,1,0,0,5,True,0,0,0
-16.52,402,2.94612,1,0,0,5,True,0,0,0
-14.23,173,3.012518,1,0,0,5,True,0,0,0
-14.54,204,3.087217,1,0,0,5,True,0,0,0
-15.08,258,3.181102,1,0,0,5,True,0,0,0
-16.17,367,3.303565,1,0,0,5,True,0,0,0
-14.65,215,3.368859,1,0,0,5,True,0,0,0
-14.23,173,3.426738,1,0,0,5,True,0,0,0
-14.84,234,3.503283,1,0,0,5,True,0,0,0
-11.74,424,4.099923,1,1,0,5,True,0,0,0
-13.83,133,4.146211,1,0,0,5,True,0,0,0
-16.34,484,4.309006,1,0,1,5,True,0,0,0
-15.37,287,4.407002,1,0,0,5,True,0,0,0
-9.12,162,4.462411,1,1,0,5,True,0,0,0
-16.47,397,4.600092,1,0,0,5,True,0,0,0
-14.42,192,4.665838,1,0,0,5,True,0,0,0
-14.92,342,5.24257,1,0,1,5,True,0,0,0
-16.89,539,5.433442,1,0,1,5,True,0,0,0
-15.07,357,5.554025,1,0,1,5,True,0,0,0
-15.3,280,5.650244,1,0,0,5,True,0,0,0
-15.27,277,5.748767,1,0,0,5,True,0,0,0
-13.32,182,5.828795,1,0,1,5,True,0,0,0
-14.13,363,6.415224,1,0,2,5,True,0,0,0
-16.19,369,6.538043,1,0,0,5,True,0,0,0
-14.57,207,6.606497,1,0,0,5,True,0,0,0
-16.09,359,6.726805,1,0,0,5,True,0,0,0
-14.37,187,6.797127,1,0,0,5,True,0,0,0
-19.2,870,7.569741,1,0,2,5,True,0,0,0
-14.27,177,7.636402,1,0,0,5,True,0,0,0
-15.44,394,7.775052,1,0,1,5,True,0,0,0
-15.93,1343,8.290583,1,1,5,5,True,0,0,0
-18.1,1660,9.3837,1,1,6,5,True,0,0,0
-14.97,347,9.515006,1,0,1,5,True,0,0,0
-13.87,737,10.271304,1,0,6,5,True,0,0,0
2.15,1035,10.686313,2,2,5,5,True,0,0,0
-8.95,545,11.338889,1,1,4,5,True,0,0,0
-12.94,1544,11.970449,1,1,10,5,True,0,0,0
8.81,1169,12.868864,2,2,13,5,True,0,0,0
7.5,2000,14.144592,2,3,4,3,False,1,1,0
-9.21,571,14.367577,1,0,9,5,True,0,0,0
8.2,830,15.138369,2,2,9,5,True,0,0,0
-1.8,630,15.378375,1,1,12,5,True,0,0,0
8.81,869,15.711151,2,2,10,5,True,2,2,0
-12.34,184,15.793787,1,0,2,5,True,0,0,0
-12.01,551,16.481556,1,1,1,5,True,0,0,0
-0.0,2000,17.736271,2,2,2,4,False,0,0,0
15.0,2000,19.006602,2,4,6,2,False,0,0,0
11.22,828,19.346196,2,2,12,5,True,0,0,0
7.41,1009,19.787152,2,3,5,5,True,0,0,0
9.19,931,20.600074,2,2,11,5,True,0,0,0
6.21,629,20.849008,2,2,5,5,True,0,0,0
13.0,2000,22.182684,2,4,4,2,False,1,0,0
-11.84,934,23.005438,1,1,5,5,True,0,0,0
4.41,1009,23.418852,2,2,7,5,True,0,0,0
-6.6,610,23.670238,1,0,12,5,True,0,0,0
9.38,912,24.529551,2,3,6,5,True,0,0,0
10.09,741,24.859871,2,2,10,5,True,1,1,0
4.99,551,25.554826,2,2,3,5,True,0,0,0
7.91,459,25.776449,2,2,5,5,True,0,0,0
16.0,2000,27.059276,2,4,8,4,False,2,2,0
8.63,487,27.245452,2,2,6,5,True,0,0,0
-14.19,169,27.310373,1,0,0,5,True,0,0,0
8.94,556,27.533553,2,2,7,5,True,1,1,0
15.5,2000,28.828156,2,4,7,3,False,1,0,0
9.02,1048,29.703921,2,2,12,5,True,0,0,0
-11.71,221,29.79256,1,0,3,5,True,0,0,0
9.12,538,30.02883,2,3,2,5,True,1,1,0
8.91,859,30.85628,2,3,5,5,True,0,0,0
9.0,2000,32.166737,2,3,5,2,False,2,2,0
-0.06,556,32.393468,1,1,13,5,True,0,0,0
