#{"t_start": 1789147766.251253, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-14.28,178,0.379251,1,0,0,5,True
-14.07,257,0.471561,1,0,1,5,True
-13.05,155,0.528172,1,0,1,5,True
-13.83,333,0.646675,1,0,2,5,True
-12.67,117,0.690667,1,0,1,5,True
-14.33,183,0.757509,1,0,0,5,True
-13.92,142,0.810865,1,0,0,5,True
-13.97,147,0.862041,1,0,0,5,True
-13.59,209,0.93918,1,0,1,5,True
-11.74,224,1.021038,1,0,3,5,True
-14.11,161,1.076484,1,0,0,5,True
-13.77,327,1.189836,1,0,2,5,True
-12.34,184,1.254971,1,0,2,5,True
-11.48,398,1.391854,1,0,5,5,True
-13.64,214,1.469068,1,0,1,5,True
-11.92,242,1.558769,1,0,3,5,True
-14.32,282,1.660667,1,0,1,5,True
-13.88,338,1.780688,1,0,2,5,True
-11.04,354,2.743483,1,0,5,5,True
-12.05,155,2.799962,1,0,2,5,True
-13.51,301,2.906393,1,0,2,5,True
-12.0,250,2.989815,1,0,3,5,True
-12.55,305,3.098014,1,0,3,5,True
-9.83,333,3.220969,1,0,6,5,True
-14.41,191,3.29055,1,0,0,5,True
-10.8,330,3.436954,1,0,5,5,True
-15.11,361,3.5713,1,0,1,5,True
-14.78,228,3.654511,1,0,0,5,True
-13.59,209,3.73085,1,0,1,5,True
-12.03,353,3.862354,1,0,4,5,True
-12.17,167,3.924434,1,0,2,5,True
-14.02,152,3.980665,1,0,0,5,True
-13.36,386,4.121676,1,0,3,5,True
-13.37,387,5.078267,1,0,3,5,True
-11.58,308,5.191211,1,0,4,5,True
-14.68,318,5.308105,1,0,1,5,True
-4.12,662,5.548083,1,1,10,5,True
-14.38,188,5.611972,1,0,0,5,True
-10.19,469,5.784894,1,0,7,5,True
-11.99,249,5.876216,1,0,3,5,True
-13.72,522,6.067877,1,0,4,5,True
-11.53,503,6.253242,1,0,6,5,True
-13.63,313,6.367369,1,0,2,5,True
-10.95,545,7.386384,1,0,7,5,True
-12.44,194,7.45542,1,0,2,5,True
-11.68,318,7.57587,1,0,4,5,True
-8.76,626,7.820756,1,0,10,5,True
-13.24,374,7.965301,1,0,3,5,True
-9.51,301,8.073643,1,0,6,5,True
-14.78,628,8.30737,1,0,4,5,True
-12.38,588,8.512204,1,0,6,5,True
-8.77,427,8.671963,1,0,8,5,True
