#{"t_start": 1788950526.982302, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-13.3,180,0.37261,1,0,1,5,True
-11.65,315,0.482715,1,0,4,5,True
-12.81,131,0.528572,1,0,1,5,True
-12.88,138,0.576455,1,0,1,5,True
-14.28,178,0.638641,1,0,0,5,True
-14.26,176,0.698889,1,0,0,5,True
-14.12,162,0.754932,1,0,0,5,True
-14.16,266,0.84937,1,0,1,5,True
-13.73,123,0.892101,1,0,0,5,True
-15.13,263,0.984024,1,0,0,5,True
-7.78,228,1.479676,1,1,2,5,True
-13.48,198,1.549526,1,0,1,5,True
-14.01,351,1.672457,1,0,2,5,True
-13.34,284,1.773076,1,0,2,5,True
-14.01,251,1.861463,1,0,1,5,True
-13.07,157,1.916719,1,0,1,5,True
-13.99,149,1.969433,1,0,0,5,True
-8.24,174,2.030578,1,1,1,5,True
-14.25,175,2.092437,1,0,0,5,True
-13.26,276,2.604083,1,0,2,5,True
-13.87,137,2.647915,1,0,0,5,True
-10.0,350,2.762054,1,0,6,5,True
-12.84,334,2.876029,1,0,3,5,True
-13.88,238,2.961168,1,0,1,5,True
-10.61,411,3.104927,1,0,6,5,True
-10.91,341,3.224574,1,0,5,5,True
-12.99,549,3.844593,1,0,5,5,True
-13.52,402,3.988084,1,0,3,5,True
-13.27,277,4.086544,1,0,2,5,True
-13.98,148,4.139086,1,0,0,5,True
-12.98,348,4.265429,1,0,3,5,True
-12.29,279,4.364822,1,0,3,5,True
-14.06,256,4.859361,1,0,1,5,True
-3.65,915,5.187156,1,1,13,5,True
-15.94,344,5.311428,1,0,0,5,True
-12.43,393,5.450915,1,0,4,5,True
-13.99,249,5.539158,1,0,1,5,True
-10.58,508,6.127195,1,0,7,5,True
-13.48,298,6.231732,1,0,2,5,True
-5.81,531,6.422853,1,0,12,5,True
-13.16,566,6.623492,1,0,5,5,True
-8.84,234,6.701953,1,1,1,5,True
-7.13,863,7.40386,1,0,14,5,True
-11.37,487,7.587266,1,0,6,5,True
-3.74,824,8.331212,1,1,12,5,True
16.36,1114,8.749146,2,2,20,5,True
11.04,1046,9.568173,2,2,14,5,True
-9.65,515,9.755433,1,0,8,5,True
13.06,644,9.992255,2,2,12,5,True
12.98,952,10.764956,2,2,15,5,True
15.7,1080,11.183266,2,2,19,5,True
-12.33,483,11.363584,1,0,5,5,True
13.19,931,12.111275,2,2,15,5,True
8.81,1069,12.505556,2,2,12,5,True
17.02,1648,13.538761,2,2,26,5,True
-11.43,393,13.697967,1,0,5,5,True
16.89,1261,14.630855,2,2,22,5,True
-5.72,522,14.866056,1,1,7,5,True
15.97,853,15.605416,2,2,17,5,True
-0.02,552,15.821183,1,1,13,5,True
24.92,1258,16.701641,2,4,20,5,True
0.55,1095,17.109912,1,1,19,5,True
11.02,748,17.383596,2,2,11,5,True
-11.59,309,17.914004,1,0,4,5,True
12.34,616,18.151208,2,2,11,5,True
52.0,2000,19.423258,3,5,29,4,False
13.1,540,19.629634,2,2,11,5,True
54.0,2000,20.846634,3,6,25,2,False
55.0,2000,22.092112,3,5,32,4,False
10.93,657,22.340147,2,2,10,5,True
21.33,1717,23.474803,2,2,31,5,True
18.04,946,24.320018,2,2,20,5,True
17.56,994,24.693554,2,2,20,5,True
12.41,709,25.366059,2,2,12,5,True
19.21,1129,25.777693,2,2,23,5,True
32.21,1229,26.784758,2,4,27,5,True
15.78,1172,27.301941,2,2,20,5,True
22.99,851,28.27393,2,4,14,5,True
18.44,1706,29.575774,2,2,28,5,True
14.84,666,29.940109,2,2,14,5,True
27.9,1160,30.687937,2,4,22,5,True
